id,deck,subdeck,en,es,tr
col_frdDRsaHM19g,Trio,Colors,"color

noun

[Wiktionary](https://en.wiktionary.org/wiki/color#English)","el color

noun

[Wiktionary](https://en.wiktionary.org/wiki/color#Spanish)",renk
col_RqEwYEQQmPfh,Trio,Colors,"red

adjective

[Wiktionary](https://en.wiktionary.org/wiki/red#English)","rojo, roja

adjective

[Wiktionary](https://en.wiktionary.org/wiki/rojo#Spanish)",kırmızı
col_e7wzwL2Tmh5w,Trio,Colors,"blue

adjective

[Wiktionary](https://en.wiktionary.org/wiki/blue#English)","azul

adjective
same for masc. and fem.

[Wiktionary](https://en.wiktionary.org/wiki/azul#Spanish)",mavi
col_DxWmLlKhGuO1,Trio,Colors,"green

adjective

[Wiktionary](https://en.wiktionary.org/wiki/green#English)","verde

adjective
same for masc. and fem.

[Wiktionary](https://en.wiktionary.org/wiki/verde#Spanish)",yeşil
col_x7MQ5yD7uCVO,Trio,Colors,"yellow

adjective

[Wiktionary](https://en.wiktionary.org/wiki/yellow#English)","amarillo, amarilla

adjective

[Wiktionary](https://en.wiktionary.org/wiki/amarillo#Spanish)",sarı
col__NGFIJADQ45P,Trio,Colors,"black

adjective

[Wiktionary](https://en.wiktionary.org/wiki/black#English)","negro, negra

adjective

[Wiktionary](https://en.wiktionary.org/wiki/negro#Spanish)",siyah
col_qc27w5dAKjf6,Trio,Colors,"white

adjective

[Wiktionary](https://en.wiktionary.org/wiki/white#English)","blanco, blanca

adjective

[Wiktionary](https://en.wiktionary.org/wiki/blanco#Spanish)",beyaz
col_JSXcw_v3AsMZ,Trio,Colors,"orange

adjective

[Wiktionary](https://en.wiktionary.org/wiki/orange#English)","naranja

adjective
invariable; also the fruit *la naranja*

[Wiktionary](https://en.wiktionary.org/wiki/naranja#Spanish)",turuncu
col_UlkL-rPM21zF,Trio,Colors,"purple

adjective

[Wiktionary](https://en.wiktionary.org/wiki/purple#English)","morado, morada

adjective

[Wiktionary](https://en.wiktionary.org/wiki/morado#Spanish)",mor
col_SjVYbfSp0Q_d,Trio,Colors,"pink

adjective

[Wiktionary](https://en.wiktionary.org/wiki/pink#English)","rosa

adjective
invariable

[Wiktionary](https://en.wiktionary.org/wiki/rosa#Spanish)",pembe
col_4i-i_2c3aWRV,Trio,Colors,"brown

adjective

[Wiktionary](https://en.wiktionary.org/wiki/brown#English)","marrón

adjective

[Wiktionary](https://en.wiktionary.org/wiki/marrón#Spanish)",kahverengi
col_bdB8qMF6iZ6t,Trio,Colors,"gray

adjective
also *grey* (UK)

[Wiktionary](https://en.wiktionary.org/wiki/gray#English)","gris

adjective

[Wiktionary](https://en.wiktionary.org/wiki/gris#Spanish)",gri
col_oA3ep7XZzS2Y,Trio,Colors,"light

adjective
of a color; e.g. light blue → *azul claro*

[Wiktionary](https://en.wiktionary.org/wiki/light#English)","claro, clara

adjective

[Wiktionary](https://en.wiktionary.org/wiki/claro#Spanish)",açık
col_o6-UwtzFj44x,Trio,Colors,"dark

adjective
of a color; e.g. dark blue → *azul oscuro*

[Wiktionary](https://en.wiktionary.org/wiki/dark#English)","oscuro, oscura

adjective

[Wiktionary](https://en.wiktionary.org/wiki/oscuro#Spanish)",koyu
