id,deck,subdeck,en,es,tr
cal_DqF82ljE3yXG,trio-lingua,calendar,"Monday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Monday)","el lunes

noun

[Wiktionary](https://en.wiktionary.org/wiki/lunes)",Pazartesi
cal_IrgqQtDMt2nc,trio-lingua,calendar,"Tuesday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Tuesday)","el martes

noun

[Wiktionary](https://en.wiktionary.org/wiki/martes)",Salı
cal_uVqqcwoiMWUW,trio-lingua,calendar,"Wednesday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Wednesday)","el miércoles

noun

[Wiktionary](https://en.wiktionary.org/wiki/miércoles)",Çarşamba
cal_8Si1V95R4DZt,trio-lingua,calendar,"Thursday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Thursday)","el jueves

noun

[Wiktionary](https://en.wiktionary.org/wiki/jueves)",Perşembe
cal_j888r8sIgrxB,trio-lingua,calendar,"Friday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Friday)","el viernes

noun

[Wiktionary](https://en.wiktionary.org/wiki/viernes)",Cuma
cal_zzM1Tam6zrSI,trio-lingua,calendar,"Saturday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Saturday)","el sábado

noun

[Wiktionary](https://en.wiktionary.org/wiki/sábado)",Cumartesi
cal_Oetf4dYtqofg,trio-lingua,calendar,"Sunday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Sunday)","el domingo

noun

[Wiktionary](https://en.wiktionary.org/wiki/domingo)",Pazar
cal_4X7nwdwoWO_S,trio-lingua,calendar,"January

noun

[Wiktionary](https://en.wiktionary.org/wiki/January)","el enero

noun

[Wiktionary](https://en.wiktionary.org/wiki/enero)",Ocak
cal_AXQVo6e5zG87,trio-lingua,calendar,"February

noun

[Wiktionary](https://en.wiktionary.org/wiki/February)","el febrero

noun

[Wiktionary](https://en.wiktionary.org/wiki/febrero)",Şubat
cal_PfSsbyjyJaYz,trio-lingua,calendar,"March

noun

[Wiktionary](https://en.wiktionary.org/wiki/March)","el marzo

noun

[Wiktionary](https://en.wiktionary.org/wiki/marzo)",Mart
