id,deck,subdeck,en,es,tr
col_frdDRsaHM19g,trio-lingua,colors,"color

noun

[Wiktionary](https://en.wiktionary.org/wiki/color)","el color

noun

[Wiktionary](https://en.wiktionary.org/wiki/color)","renk"
col_RqEwYEQQmPfh,trio-lingua,colors,"red

adjective

[Wiktionary](https://en.wiktionary.org/wiki/red)","rojo, roja

adjective

[Wiktionary](https://en.wiktionary.org/wiki/rojo)","kırmızı"
col_e7wzwL2Tmh5w,trio-lingua,colors,"blue

adjective

[Wiktionary](https://en.wiktionary.org/wiki/blue)","azul

adjective
same for masc. and fem.

[Wiktionary](https://en.wiktionary.org/wiki/azul)","mavi"
col_DxWmLlKhGuO1,trio-lingua,colors,"green

adjective

[Wiktionary](https://en.wiktionary.org/wiki/green)","verde

adjective
same for masc. and fem.

[Wiktionary](https://en.wiktionary.org/wiki/verde)","yeşil"
col_x7MQ5yD7uCVO,trio-lingua,colors,"yellow

adjective

[Wiktionary](https://en.wiktionary.org/wiki/yellow)","amarillo, amarilla

adjective

[Wiktionary](https://en.wiktionary.org/wiki/amarillo)","sarı"
col__NGFIJADQ45P,trio-lingua,colors,"black

adjective

[Wiktionary](https://en.wiktionary.org/wiki/black)","negro, negra

adjective

[Wiktionary](https://en.wiktionary.org/wiki/negro)","siyah"
col_qc27w5dAKjf6,trio-lingua,colors,"white

adjective

[Wiktionary](https://en.wiktionary.org/wiki/white)","blanco, blanca

adjective

[Wiktionary](https://en.wiktionary.org/wiki/blanco)","beyaz"
col_JSXcw_v3AsMZ,trio-lingua,colors,"orange

adjective

[Wiktionary](https://en.wiktionary.org/wiki/orange)","naranja

adjective
invariable; also the fruit *la naranja*

[Wiktionary](https://en.wiktionary.org/wiki/naranja)","turuncu"
col_UlkL-rPM21zF,trio-lingua,colors,"purple

adjective

[Wiktionary](https://en.wiktionary.org/wiki/purple)","morado, morada

adjective

[Wiktionary](https://en.wiktionary.org/wiki/morado)","mor"
col_SjVYbfSp0Q_d,trio-lingua,colors,"pink

adjective

[Wiktionary](https://en.wiktionary.org/wiki/pink)","rosa

adjective
invariable

[Wiktionary](https://en.wiktionary.org/wiki/rosa)","pembe"
col_4i-i_2c3aWRV,trio-lingua,colors,"brown

adjective

[Wiktionary](https://en.wiktionary.org/wiki/brown)","marrón

adjective

[Wiktionary](https://en.wiktionary.org/wiki/marrón)","kahverengi"
col_bdB8qMF6iZ6t,trio-lingua,colors,"gray

adjective
also *grey* (UK)

[Wiktionary](https://en.wiktionary.org/wiki/gray)","gris

adjective

[Wiktionary](https://en.wiktionary.org/wiki/gris)","gri"
col_oA3ep7XZzS2Y,trio-lingua,colors,"light

adjective
of a color; e.g. light blue → *azul claro*

[Wiktionary](https://en.wiktionary.org/wiki/light)","claro, clara

adjective

[Wiktionary](https://en.wiktionary.org/wiki/claro)","açık"
col_o6-UwtzFj44x,trio-lingua,colors,"dark

adjective
of a color; e.g. dark blue → *azul oscuro*

[Wiktionary](https://en.wiktionary.org/wiki/dark)","oscuro, oscura

adjective

[Wiktionary](https://en.wiktionary.org/wiki/oscuro)","koyu"
