id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
nat_fLF6rlAVW9pb,trio-lingua,nature,animal,el animal,hayvan,noun,term,animals,,,,,,,
nat_36ClpSOvtHdy,trio-lingua,nature,plant,la planta,bitki,noun,term,plants,,,,,,,
nat_oGwDXyF6f0tv,trio-lingua,nature,fruit,la fruta,meyve,noun,term,fruits,,,,,,,
nat_BPot1HElGXsF,trio-lingua,nature,vegetable,la verdura / el vegetal,sebze,noun,term,vegetables,,,,,,,
nat_CZji9Tj2ezcJ,trio-lingua,nature,dog,el perro / la perra,köpek,noun,term,animals,,,,,,,
nat_l03z6H6ydylq,trio-lingua,nature,cat,el gato / la gata,kedi,noun,term,animals,,,,,,,
nat_oGDVfMzzLL_W,trio-lingua,nature,bird,el pájaro / el ave,kuş,noun,term,animals,,,,,,,
nat_OJgXPvq27pHG,trio-lingua,nature,fish,el pez (pl. los peces),balık,noun,term,animals,,,,,,,
nat_UPYBOSkGE5X1,trio-lingua,nature,horse,el caballo / la yegua,at,noun,term,animals,,,,,,,
nat_3ds0toEoOQwe,trio-lingua,nature,cow,la vaca,inek,noun,term,animals,,,,,,,
nat_vFf6YoHfupsg,trio-lingua,nature,bull,el toro,boğa,noun,term,animals,,,,,,,
nat_6bjI5VfbINpX,trio-lingua,nature,pig,el cerdo / la cerda,domuz,noun,term,animals,,,,,,,
nat_KMmcJ2tumkB1,trio-lingua,nature,sheep,la oveja,koyun,noun,term,animals,,,,,,,
nat_Pac2XKR_SUhB,trio-lingua,nature,goat,la cabra,keçi,noun,term,animals,,,,,,,
nat_aQ4817qL_jKX,trio-lingua,nature,chicken,el pollo / la gallina,tavuk,noun,term,animals,,,,,,,
nat_au27wEZ46rRE,trio-lingua,nature,rooster,el gallo,horoz,noun,term,animals,,,,,,,
nat_femCYqrcoUWT,trio-lingua,nature,duck,el pato / la pata,ördek,noun,term,animals,,,,,,,
nat_XVlSPz4e6ZZC,trio-lingua,nature,rabbit,el conejo / la coneja,tavşan,noun,term,animals,,,,,,,
nat_u42h7j1d98cr,trio-lingua,nature,mouse,el ratón / la ratona,fare,noun,term,animals,,,,,,,
nat_rPW1rmZyC5f5,trio-lingua,nature,bear,el oso / la osa,ayı,noun,term,animals,,,,,,,
nat_5aB4jRId5Kra,trio-lingua,nature,lion,el león / la leona,aslan,noun,term,animals,,,,,,,
nat_EATfniVH3s9y,trio-lingua,nature,tiger,el tigre / la tigresa,kaplan,noun,term,animals,,,,,,,
nat_d83W8LPkIJMH,trio-lingua,nature,elephant,el elefante / la elefanta,fil,noun,term,animals,,,,,,,
nat_NNRWd0h8QRKg,trio-lingua,nature,monkey,el mono / la mona,maymun,noun,term,animals,,,,,,,
nat_u5p5Yxx2kQUl,trio-lingua,nature,wolf,el lobo / la loba,kurt,noun,term,animals,,,,,,,
nat_xPt1Bhx2GRVx,trio-lingua,nature,fox,el zorro / la zorra,tilki,noun,term,animals,,,,,,,
nat_U380AupHVzfc,trio-lingua,nature,snake,la serpiente,yılan,noun,term,animals,,,,,,,
nat_DpCcknk0B2fs,trio-lingua,nature,frog,la rana,kurbağa,noun,term,animals,,,,,,,
nat_agyJc1rnbfq-,trio-lingua,nature,butterfly,la mariposa,kelebek,noun,term,animals,,,,,,,
nat_O5ucxYfPKcnl,trio-lingua,nature,bee,la abeja,arı,noun,term,animals,,,,,,,
nat_9WEEBpLQnASF,trio-lingua,nature,spider,la araña,örümcek,noun,term,animals,,,,,,,
nat_B9tmW_TsgSFT,trio-lingua,nature,ant,la hormiga,karınca,noun,term,animals,,,,,,,
nat_JpbCqVoN8feR,trio-lingua,nature,tree,el árbol,ağaç,noun,term,plants,,,,,,,
nat_3C2o-Qn6yJzf,trio-lingua,nature,flower,la flor,çiçek,noun,term,plants,,,,,,,
nat_7FSqt7pSsgMJ,trio-lingua,nature,grass,la hierba / el césped,çimen / ot,noun,term,plants,,,,,,,
nat__UyqrXfUh2Al,trio-lingua,nature,leaf,la hoja,yaprak,noun,term,plants,,,,,,,
nat_89mdyiWSk50h,trio-lingua,nature,seed,la semilla,tohum,noun,term,plants,,,,,,,
nat_CfiEeijMiewq,trio-lingua,nature,root,la raíz,kök,noun,term,plants,,,,,,,
nat_TvWm9I_OFIbU,trio-lingua,nature,branch,la rama,dal,noun,term,plants,,,,,,,
nat_1Bvj1j9GLfHU,trio-lingua,nature,bush,el arbusto,çalı,noun,term,plants,,,,,,,
nat_AjdZjRdfONQB,trio-lingua,nature,forest,el bosque,orman,noun,term,plants,,,,,,,
nat_Nf4oVVB1niky,trio-lingua,nature,garden,el jardín,bahçe,noun,term,plants,,,,,,,
nat_xQ73CEgzkSnR,trio-lingua,nature,rose,la rosa,gül,noun,term,plants,,,,,,,
nat_Waw10Wqv6x95,trio-lingua,nature,oak,el roble,meşe,noun,term,plants,,,,,,,
nat_ENs9xItTY3IJ,trio-lingua,nature,pine,el pino,çam,noun,term,plants,,,,,,,
nat_MltjAGYNFcTC,trio-lingua,nature,cactus,el cactus,kaktüs,noun,term,plants,,,,,,,
nat_f0Mjbq50BvSI,trio-lingua,nature,apple,la manzana,elma,noun,term,fruits,,,,,,,
nat_qadffmSmNFzM,trio-lingua,nature,banana,el plátano / la banana,muz,noun,term,fruits,,,,,,,
nat_AoTHTPvfwIBi,trio-lingua,nature,orange,la naranja,portakal,noun,term,fruits,,,,,,,
nat_KzUorrLv0MkF,trio-lingua,nature,lemon,el limón,limon,noun,term,fruits,,,,,,,
nat_OTbC-T9yOZzi,trio-lingua,nature,strawberry,la fresa,çilek,noun,term,fruits,,,,,,,
nat_R4LocPOLu2bD,trio-lingua,nature,grape,la uva,üzüm,noun,term,fruits,,,,,,,
nat_Y88jJ4uMSaQR,trio-lingua,nature,watermelon,la sandía,karpuz,noun,term,fruits,,,,,,,
nat_zRFNww_Xg1SD,trio-lingua,nature,melon,el melón,kavun,noun,term,fruits,,,,,,,
nat_2Yr6cBtlDwEP,trio-lingua,nature,pear,la pera,armut,noun,term,fruits,,,,,,,
nat_1gQnIrFNvbbV,trio-lingua,nature,peach,el melocotón / el durazno,şeftali,noun,term,fruits,,,,,,,
nat_-RnezfGYUcYy,trio-lingua,nature,cherry,la cereza,kiraz,noun,term,fruits,,,,,,,
nat_tUt_34ZDgEfs,trio-lingua,nature,pineapple,la piña,ananas,noun,term,fruits,,,,,,,
nat_8wJ5xgfx5BWH,trio-lingua,nature,mango,el mango,mango,noun,term,fruits,,,,,,,
nat_tmNLrHEZB9qd,trio-lingua,nature,kiwi,el kiwi,kivi,noun,term,fruits,,,,,,,
nat_PdlxvLdwQqSZ,trio-lingua,nature,fig,el higo,incir,noun,term,fruits,,,,,,,
nat_2Zlp1u0nDA75,trio-lingua,nature,coconut,el coco,hindistan cevizi,noun,term,fruits,,,,,,,
nat_Pt6Bas-5fvKI,trio-lingua,nature,blueberry,el arándano,yaban mersini,noun,term,fruits,,,,,,,
nat_a5_zjUcoDxA0,trio-lingua,nature,raspberry,la frambuesa,ahududu,noun,term,fruits,,,,,,,
nat_ZBxDoH9eNjbP,trio-lingua,nature,tomato,el tomate,domates,noun,term,vegetables,,,,,,,
nat_WbrfbWnuqqfT,trio-lingua,nature,potato,la patata / la papa,patates,noun,term,vegetables,,,,,,,
nat_RWW2v0nRMTD4,trio-lingua,nature,carrot,la zanahoria,havuç,noun,term,vegetables,,,,,,,
nat_bVUqowggo0pW,trio-lingua,nature,onion,la cebolla,soğan,noun,term,vegetables,,,,,,,
nat_g6o_GUZTy_Tn,trio-lingua,nature,garlic,el ajo,sarımsak,noun,term,vegetables,,,,,,,
nat_xYQ8Ua5tRl7e,trio-lingua,nature,lettuce,la lechuga,marul,noun,term,vegetables,,,,,,,
nat_d5O0wIkAJEMc,trio-lingua,nature,cucumber,el pepino,salatalık,noun,term,vegetables,,,,,,,
nat_lKP8CNZZKPP7,trio-lingua,nature,pepper,el pimiento,biber,noun,term,vegetables,,,,,,,
nat_AVtrbt-E8XCI,trio-lingua,nature,spinach,las espinacas,ıspanak,noun,term,vegetables,,,,,,,
nat_rEEw-9i8cyXX,trio-lingua,nature,broccoli,el brócoli,brokoli,noun,term,vegetables,,,,,,,
nat_C9OtIP8LEDbe,trio-lingua,nature,cabbage,el repollo / la col,lahana,noun,term,vegetables,,,,,,,
nat_x3kHdFA8nMoU,trio-lingua,nature,cauliflower,la coliflor,karnabahar,noun,term,vegetables,,,,,,,
nat_3WMLr2QR7Eql,trio-lingua,nature,eggplant,la berenjena,patlıcan,noun,term,vegetables,,,,,,,
nat_2SjTQuoBI2U4,trio-lingua,nature,zucchini,el calabacín,kabak,noun,term,vegetables,,,,,,,
nat_OY0W2e9s6_Xd,trio-lingua,nature,pumpkin,la calabaza,balkabağı,noun,term,vegetables,,,,,,,
nat_GCOrAPf7ZEBl,trio-lingua,nature,corn,el maíz,mısır,noun,term,vegetables,,,,,,,
nat_R1Mj16Zh1-83,trio-lingua,nature,bean,el frijol / la judía / la alubia,fasulye,noun,term,vegetables,,,,,,,
nat_4RhsxqF32Wtg,trio-lingua,nature,pea,el guisante,bezelye,noun,term,vegetables,,,,,,,
nat_SOrHW2H5vEw5,trio-lingua,nature,mushroom,el hongo / la seta,mantar,noun,term,vegetables,,,,,,,
nat_-habaPre4PKW,trio-lingua,nature,celery,el apio,kereviz,noun,term,vegetables,,,,,,,
