id,deck,subdeck,en,es
lWVku4E-DjbF,babbel,newcomer 306,I lived six months in the United States.,Viví seis meses en Estados Unidos.
mys2pOOOFlRk,babbel,newcomer 306,I learned a lot about production processes.,Aprendí mucho sobre procesos de producción.
q4FAfCcRcaH6,babbel,newcomer 306,I studied electronic engineering.,Estudié ingeniería electrónica.
LansHCIEbSr3,babbel,newcomer 306,I worked at a grocery store.,Trabajé en un supermercado.
zXf4WaHKkPBt,babbel,newcomer 306,strawberries,fresas
lJN0Euf7b8O9,babbel,newcomer 306,bananas,plátanos
Sru1CH3EJxcO,babbel,newcomer 306,avocados,aguacates
ZvCpNsRlO7Pp,babbel,newcomer 306,tomatoes,tomates
brZzTTqYmj5j,babbel,newcomer 306,oranges,naranjas
bwKGoHnb0eg3,babbel,newcomer 306,There is no more bread.,Ya no hay pan.
5S43dj3tym4M,babbel,newcomer 306,Is there cheese in the fridge?,¿Hay queso en la nevera?
z5M7v79rpGSE,babbel,newcomer 306,Do you have money?,¿Tienes dinero?
pKSMKNRjpCFP,babbel,newcomer 306,We have to buy rice.,Tenemos que comprar arroz.
G6oiJ6jZpAT7,babbel,newcomer 306,We need potatoes.,Necesitamos patatas.
qQpMafz-NrgO,babbel,newcomer 306,five hundred,quinientos
mbRqB7qo8Tr6,babbel,newcomer 306,one thousand,mil
UFsZ5uNmJ7_G,babbel,newcomer 306,nine hundred,novecientos
N8tRkrwm0SqX,babbel,newcomer 306,seven hundred,setecientos
fieHaxKPwYF-,babbel,newcomer 306,I want to buy some apples.,Quiero comprar algunas manzanas.
Ni6C4MRc7btF,babbel,newcomer 306,We have to buy a lemon.,Tenemos que comprar un limón.
HT-jMtUFWz1I,babbel,newcomer 306,The TV is on the table.,La televisión está encima de la mesa.
uLctsJ5kq5Om,babbel,newcomer 306,The couch is in front of the TV.,El sofá está delante de la televisión.
JBnOY9LN9muw,babbel,newcomer 306,The bookcase is behind the couch.,La estantería está detrás del sofá.
IRqofcnGlYSu,babbel,newcomer 306,There's a table inside the living room.,Hay una mesa dentro de la sala de estar.
nYvIp1qQ-FzP,babbel,newcomer 306,The couch is next to the bookcase.,El sofá está junto a la estantería.
pT2NUFg87svJ,babbel,newcomer 306,There's a shower in the bathroom.,Hay una ducha en el baño.
t0o7F9yhuuKh,babbel,newcomer 306,There's an oven and a stove in the kitchen.,En la cocina hay un horno y un fogón.
0d3xKtlOHJg-,babbel,newcomer 306,There's a fridge in the kitchen.,Hay un frigorífico en la cocina.
tRML-wkIgfIQ,babbel,newcomer 306,There's a toilet in the bathroom.,En el baño hay un inodoro.
QChKhrceQgf7,babbel,newcomer 306,The sink is in front of the mirror.,El lavabo está delante del espejo.
G9Dgpt7Lp3m1,babbel,newcomer 306,The bedrooms are tidy.,Los dormitorios están ordenados.
sWOVzzMfpEG9,babbel,newcomer 306,It's snowing.,Está nevando.
2MuT0X3QSLcu,babbel,newcomer 306,I study journalism.,Yo estudio periodismo.
Mx-aBXvmbPan,babbel,newcomer 306,She studies programming.,Ella estudia programación.
CLm6UdrJHuxx,babbel,newcomer 306,I study early childhood education.,Yo estudio educación infantil.
wLRY4L15ZuH1,babbel,newcomer 306,What do you study?,¿Qué estudias?
SesIy2a9cRfE,babbel,newcomer 306,We work as psychologists. We work at a clinic.,Nosotras trabajamos como psicólogas. Nosotras trabajamos en una clínica.
3gutM0q8j0sw,babbel,newcomer 306,She works as a nurse. She works at a hospital.,Ella trabaja de enfermera. Ella trabaja en un hospital.
11U-WeintuJh,babbel,newcomer 306,He works at a hair salon. He works as a hairdresser.,Él trabaja en una peluquería. Él trabaja de peluquero.
aEMKxdfEPloI,babbel,newcomer 306,I work as a homemaker.,Yo trabajo como ama de casa.
A--1IxiBWMt8,babbel,newcomer 306,I'm a teacher and I work at a school.,Yo soy profesor y trabajo en un colegio.
TBIRrxcGH5H6,babbel,newcomer 306,I'm a doctor and I work at a hospital.,Yo soy médico y trabajo en un hospital.
Y6-irpQ2pD2o,babbel,newcomer 306,What do you do for a living?,¿A qué te dedicas?
5OCx6hLRf2qo,babbel,newcomer 306,She's a police officer and she works at a police station.,Ella es policía y trabaja en una comisaría.
wGMGteOe9ral,babbel,newcomer 306,Where do you work?,¿Dónde trabajas?
