id,deck,subdeck,en,es,tr
num_P9-G2BMqkuMf,Trio,Numbers 101,"zero

numeral

[Wiktionary](https://en.wiktionary.org/wiki/zero#English)","cero

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cero#Spanish)",sıfır
num_nnPb4PSo4lmo,Trio,Numbers 101,"one

numeral

[Wiktionary](https://en.wiktionary.org/wiki/one#English)","uno, un, una

numeral
*un* before a masculine noun; *una* before a feminine noun

[Wiktionary](https://en.wiktionary.org/wiki/uno#Spanish)",bir
num_Wk8WHKnZi9y2,Trio,Numbers 101,"two

numeral

[Wiktionary](https://en.wiktionary.org/wiki/two#English)","dos

numeral

[Wiktionary](https://en.wiktionary.org/wiki/dos#Spanish)",iki
num_ZGeL2_cN-G3q,Trio,Numbers 101,"three

numeral

[Wiktionary](https://en.wiktionary.org/wiki/three#English)","tres

numeral

[Wiktionary](https://en.wiktionary.org/wiki/tres#Spanish)",üç
num_fiaGL_ldSkQm,Trio,Numbers 101,"four

numeral

[Wiktionary](https://en.wiktionary.org/wiki/four#English)","cuatro

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cuatro#Spanish)",dört
num_-1bF_eNYMQgL,Trio,Numbers 101,"five

numeral

[Wiktionary](https://en.wiktionary.org/wiki/five#English)","cinco

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cinco#Spanish)",beş
num_uLTePPSch5DE,Trio,Numbers 101,"six

numeral

[Wiktionary](https://en.wiktionary.org/wiki/six#English)","seis

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seis#Spanish)",altı
num_j-Srb-vZNAFE,Trio,Numbers 101,"seven

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seven#English)","siete

numeral

[Wiktionary](https://en.wiktionary.org/wiki/siete#Spanish)",yedi
num_KIFrgOlCUcJo,Trio,Numbers 101,"eight

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eight#English)","ocho

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ocho#Spanish)",sekiz
num_r0j4vnrF98Fp,Trio,Numbers 101,"nine

numeral

[Wiktionary](https://en.wiktionary.org/wiki/nine#English)","nueve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/nueve#Spanish)",dokuz
num_iUlKISPBFwdI,Trio,Numbers 101,"ten

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ten#English)","diez

numeral

[Wiktionary](https://en.wiktionary.org/wiki/diez#Spanish)",on
num_-BpfSkK8splu,Trio,Numbers 101,"eleven

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eleven#English)","once

numeral

[Wiktionary](https://en.wiktionary.org/wiki/once#Spanish)",on bir
num_-mKDdB7hgE_F,Trio,Numbers 101,"twelve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/twelve#English)","doce

numeral

[Wiktionary](https://en.wiktionary.org/wiki/doce#Spanish)",on iki
num_JD_5EXb6TzbE,Trio,Numbers 101,"thirteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/thirteen#English)","trece

numeral

[Wiktionary](https://en.wiktionary.org/wiki/trece#Spanish)",on üç
num_bT68SDGTsov_,Trio,Numbers 101,"fourteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/fourteen#English)","catorce

numeral

[Wiktionary](https://en.wiktionary.org/wiki/catorce#Spanish)",on dört
num_lA4Rrl3AvVqZ,Trio,Numbers 101,"fifteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/fifteen#English)","quince

numeral

[Wiktionary](https://en.wiktionary.org/wiki/quince#Spanish)",on beş
num_Kqawu1c1D_rb,Trio,Numbers 101,"sixteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/sixteen#English)","dieciséis

numeral

[Wiktionary](https://en.wiktionary.org/wiki/dieciséis#Spanish)",on altı
num_9rs9Up04LgY9,Trio,Numbers 101,"seventeen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seventeen#English)","diecisiete

numeral

[Wiktionary](https://en.wiktionary.org/wiki/diecisiete#Spanish)",on yedi
num_xVJB77C09SCC,Trio,Numbers 101,"eighteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eighteen#English)","dieciocho

numeral

[Wiktionary](https://en.wiktionary.org/wiki/dieciocho#Spanish)",on sekiz
num_l135eQ-nzaGV,Trio,Numbers 101,"nineteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/nineteen#English)","diecinueve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/diecinueve#Spanish)",on dokuz
num_npwdxpBuvOye,Trio,Numbers 101,"twenty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/twenty#English)","veinte

numeral

[Wiktionary](https://en.wiktionary.org/wiki/veinte#Spanish)",yirmi
num_XthNKBH9THwz,Trio,Numbers 101,"twenty-one

numeral","veintiuno

numeral
21–29 are written as one word (*veinti…*)

[Wiktionary](https://en.wiktionary.org/wiki/veintiuno#Spanish)",yirmi bir
num_y0cSScVCTau5,Trio,Numbers 101,"twenty-two

numeral","veintidós

numeral

[Wiktionary](https://en.wiktionary.org/wiki/veintidós#Spanish)",yirmi iki
num_U5LZdFZdnlai,Trio,Numbers 101,"thirty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/thirty#English)","treinta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/treinta#Spanish)",otuz
num_HC8JMDc3NKan,Trio,Numbers 101,"thirty-one

numeral","treinta y uno

numeral
from 31 up: tens + *y* + units",otuz bir
num_OvBA1JwlUgrr,Trio,Numbers 101,"forty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/forty#English)","cuarenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cuarenta#Spanish)",kırk
num_y_ivW6mRU46i,Trio,Numbers 101,"forty-five

numeral","cuarenta y cinco

numeral",kırk beş
num_jE72QH5oRrul,Trio,Numbers 101,"fifty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/fifty#English)","cincuenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cincuenta#Spanish)",elli
