id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
phr_PzY88Vaxl9BY,trio-lingua,phrases,Hello,Hola,Merhaba,phrase,phrase,greetings,,,,,,,
phr_3VzHtyo65SX9,trio-lingua,phrases,Good morning,Buenos días,Günaydın,phrase,phrase,greetings,,,,,,,
phr_9POpgDPqri-O,trio-lingua,phrases,Good afternoon,Buenas tardes,İyi günler / Tünaydın,phrase,phrase,greetings,,,,,,,
phr_ALxgrcW1bjjj,trio-lingua,phrases,Good evening / Good night,Buenas noches,İyi akşamlar / İyi geceler,phrase,phrase,greetings,,,,,,,
phr_RQvn4Vf2kafO,trio-lingua,phrases,Goodbye,Adiós,Hoşça kal,phrase,phrase,greetings,,,,,,,
phr_O_OBsW6AjTBM,trio-lingua,phrases,See you later,Hasta luego,Görüşürüz,phrase,phrase,greetings,,,,,,,
phr_Xh017LBTpTD4,trio-lingua,phrases,See you tomorrow,Hasta mañana,Yarın görüşürüz,phrase,phrase,greetings,,,,,,,
phr_lCujiT6EuxdF,trio-lingua,phrases,Welcome,Bienvenido / Bienvenida,Hoş geldin,phrase,phrase,greetings,,,,,,,
phr_2VLyf3S-6axE,trio-lingua,phrases,Please,Por favor,Lütfen,phrase,phrase,courtesy,,,,,,,
phr_YAUA8-Y-i3mL,trio-lingua,phrases,Thank you,Gracias,Teşekkürler,phrase,phrase,courtesy,,,,,,,
phr_cZ85uGtpdtga,trio-lingua,phrases,Thank you very much,Muchas gracias,Çok teşekkürler,phrase,phrase,courtesy,,,,,,,
phr_uNQY3Fjmh6Od,trio-lingua,phrases,You're welcome,De nada,Rica ederim,phrase,phrase,courtesy,,,,,,,
phr_t-eziOyInwq7,trio-lingua,phrases,Excuse me,Perdón / Disculpe,Affedersiniz,phrase,phrase,courtesy,,,,,,,
phr_aG3JtdTYctas,trio-lingua,phrases,I'm sorry,Lo siento,Özür dilerim,phrase,phrase,courtesy,,,,,,,
phr_rdE3z9YxNJrV,trio-lingua,phrases,Excuse me (passing by),Con permiso,İzninizle,phrase,phrase,courtesy,,,,,,,
phr_hltAnacCsQT7,trio-lingua,phrases,Yes,Sí,Evet,adverb,term,basics,,,,,,,
phr_5HxbdGmj1gWG,trio-lingua,phrases,No,No,Hayır,adverb,term,basics,,,,,,,
phr_LKQZdhe3ARpc,trio-lingua,phrases,Maybe,Tal vez / Quizás,Belki,adverb,term,basics,,,,,,,
phr_rVnXQwuxMlaW,trio-lingua,phrases,Of course,Claro / Por supuesto,Tabii ki,phrase,phrase,basics,,,,,,,
phr_dPH2ATULJidq,trio-lingua,phrases,That's all,Eso es todo,Hepsi bu,phrase,phrase,basics,,,,,,,
phr_nGPfqeu5bDnJ,trio-lingua,phrases,It doesn't matter,No importa,Önemli değil,phrase,phrase,basics,,,,,,,
phr_wycR3-74vnoS,trio-lingua,phrases,How are you?,¿Cómo estás?,Nasılsın?,phrase,phrase,small-talk,,,,,,,
phr_d8nOYsudxIbV,trio-lingua,phrases,"Fine, thanks. And you?","Bien, gracias. ¿Y tú?","İyiyim, teşekkürler. Ya sen?",phrase,phrase,small-talk,,,,,,,
phr_WWTyldYXpVUk,trio-lingua,phrases,What's your name?,¿Cómo te llamas?,Adın ne?,phrase,phrase,small-talk,,,,,,,
phr_Pr9tlNLhMsX-,trio-lingua,phrases,My name is…,Me llamo…,Adım…,phrase,phrase,small-talk,,,,,,,
phr_RJz4pTi6mrmt,trio-lingua,phrases,Nice to meet you,Mucho gusto / Encantado,Memnun oldum,phrase,phrase,small-talk,,,,,,,
phr_5YlReK_RYeNv,trio-lingua,phrases,Where are you from?,¿De dónde eres?,Nerelisin?,phrase,phrase,small-talk,,,,,,,
phr_d2AWQ8upsCOd,trio-lingua,phrases,I am from…,Soy de…,…'lıyım,phrase,phrase,small-talk,,,,,,,
phr_GvVhCdPZKeDq,trio-lingua,phrases,What do you do (for a living)?,¿A qué te dedicas?,Ne iş yapıyorsun?,phrase,phrase,small-talk,,,,,,,
phr_YPL4Ocl111F9,trio-lingua,phrases,I work as…,Trabajo como…,… olarak çalışıyorum,phrase,phrase,small-talk,,,,,,,
phr_zMxA2Syww6_v,trio-lingua,phrases,How old are you?,¿Cuántos años tienes?,Kaç yaşındasın?,phrase,phrase,small-talk,,,,,,,
phr_y1jGPJ-hSV_8,trio-lingua,phrases,I am … years old.,Tengo … años.,… yaşındayım.,phrase,phrase,small-talk,,,,literally: I have … years,,,
phr_dUUPoMpNdmB6,trio-lingua,phrases,Where do you live?,¿Dónde vives?,Nerede yaşıyorsun?,phrase,phrase,small-talk,,,,,,,
phr_sAHCwaoURFxV,trio-lingua,phrases,I don't understand,No entiendo,Anlamıyorum,phrase,phrase,help,,,,,,,
phr_IqxP1_8wou1Y,trio-lingua,phrases,I don't know,No sé,Bilmiyorum,phrase,phrase,help,,,,,,,
phr_KOdtUZqnjhUq,trio-lingua,phrases,Do you speak English?,¿Hablas inglés?,İngilizce biliyor musun?,phrase,phrase,help,,,,,,,
phr_klAcuhE4qSmh,trio-lingua,phrases,"Can you repeat, please?","¿Puedes repetir, por favor?","Tekrar eder misin, lütfen?",phrase,phrase,help,,,,,,,
phr_URVYvqWZahUj,trio-lingua,phrases,"More slowly, please","Más despacio, por favor","Daha yavaş, lütfen",phrase,phrase,help,,,,,,,
phr_lMeyysuihQrf,trio-lingua,phrases,What does … mean?,¿Qué significa…?,… ne demek?,phrase,phrase,help,,,,,,,
phr_n3ohG3FxNuik,trio-lingua,phrases,How do you say … in Spanish?,¿Cómo se dice … en español?,İspanyolca … nasıl denir?,phrase,phrase,help,,,,,,,
phr_Blpqq8FKrX39,trio-lingua,phrases,How much does it cost?,¿Cuánto cuesta?,Ne kadar?,phrase,phrase,help,,,,,,,
phr_oQVXn86hhy_U,trio-lingua,phrases,Where is the bathroom?,¿Dónde está el baño?,Tuvalet nerede?,phrase,phrase,help,,,,,,,
phr_RmWnyq-waX2i,trio-lingua,phrases,Help!,¡Socorro! / ¡Ayuda!,İmdat!,phrase,phrase,help,,,,,,,
