Question,Content,Tags,id
"Monday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Monday#English)","el lunes

noun

[Wiktionary](https://en.wiktionary.org/wiki/lunes#Spanish)

———

Pazartesi",calendar,cal_DqF82ljE3yXG
"Tuesday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Tuesday#English)","el martes

noun

[Wiktionary](https://en.wiktionary.org/wiki/martes#Spanish)

———

Salı",calendar,cal_IrgqQtDMt2nc
"Wednesday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Wednesday#English)","el miércoles

noun

[Wiktionary](https://en.wiktionary.org/wiki/miércoles#Spanish)

———

Çarşamba",calendar,cal_uVqqcwoiMWUW
"Thursday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Thursday#English)","el jueves

noun

[Wiktionary](https://en.wiktionary.org/wiki/jueves#Spanish)

———

Perşembe",calendar,cal_8Si1V95R4DZt
"Friday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Friday#English)","el viernes

noun

[Wiktionary](https://en.wiktionary.org/wiki/viernes#Spanish)

———

Cuma",calendar,cal_j888r8sIgrxB
"Saturday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Saturday#English)","el sábado

noun

[Wiktionary](https://en.wiktionary.org/wiki/sábado#Spanish)

———

Cumartesi",calendar,cal_zzM1Tam6zrSI
"Sunday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Sunday#English)","el domingo

noun

[Wiktionary](https://en.wiktionary.org/wiki/domingo#Spanish)

———

Pazar",calendar,cal_Oetf4dYtqofg
"January

noun

[Wiktionary](https://en.wiktionary.org/wiki/January#English)","el enero

noun

[Wiktionary](https://en.wiktionary.org/wiki/enero#Spanish)

———

Ocak",calendar,cal_4X7nwdwoWO_S
"February

noun

[Wiktionary](https://en.wiktionary.org/wiki/February#English)","el febrero

noun

[Wiktionary](https://en.wiktionary.org/wiki/febrero#Spanish)

———

Şubat",calendar,cal_AXQVo6e5zG87
"March

noun

[Wiktionary](https://en.wiktionary.org/wiki/March#English)","el marzo

noun

[Wiktionary](https://en.wiktionary.org/wiki/marzo#Spanish)

———

Mart",calendar,cal_PfSsbyjyJaYz
"April

noun

[Wiktionary](https://en.wiktionary.org/wiki/April#English)","el abril

noun

[Wiktionary](https://en.wiktionary.org/wiki/abril#Spanish)

———

Nisan",calendar,cal_Y8kpiq9K-o7E
"May

noun

[Wiktionary](https://en.wiktionary.org/wiki/May#English)","el mayo

noun

[Wiktionary](https://en.wiktionary.org/wiki/mayo#Spanish)

———

Mayıs",calendar,cal_1zpYV3zoVINx
"June

noun

[Wiktionary](https://en.wiktionary.org/wiki/June#English)","el junio

noun

[Wiktionary](https://en.wiktionary.org/wiki/junio#Spanish)

———

Haziran",calendar,cal_2wju-caS_LPZ
"July

noun

[Wiktionary](https://en.wiktionary.org/wiki/July#English)","el julio

noun

[Wiktionary](https://en.wiktionary.org/wiki/julio#Spanish)

———

Temmuz",calendar,cal_oE2s2gAp7MNn
"August

noun

[Wiktionary](https://en.wiktionary.org/wiki/August#English)","el agosto

noun

[Wiktionary](https://en.wiktionary.org/wiki/agosto#Spanish)

———

Ağustos",calendar,cal_lQI4_SXcUhor
"September

noun

[Wiktionary](https://en.wiktionary.org/wiki/September#English)","el septiembre

noun

[Wiktionary](https://en.wiktionary.org/wiki/septiembre#Spanish)

———

Eylül",calendar,cal_psdkByjUArvQ
"October

noun

[Wiktionary](https://en.wiktionary.org/wiki/October#English)","el octubre

noun

[Wiktionary](https://en.wiktionary.org/wiki/octubre#Spanish)

———

Ekim",calendar,cal_3SpzSsfzelDn
"November

noun

[Wiktionary](https://en.wiktionary.org/wiki/November#English)","el noviembre

noun

[Wiktionary](https://en.wiktionary.org/wiki/noviembre#Spanish)

———

Kasım",calendar,cal_B_-4Mi0XUGar
"December

noun

[Wiktionary](https://en.wiktionary.org/wiki/December#English)","el diciembre

noun

[Wiktionary](https://en.wiktionary.org/wiki/diciembre#Spanish)

———

Aralık",calendar,cal_h5e0hvdbgU2c
"spring

noun

[Wiktionary](https://en.wiktionary.org/wiki/spring#English)","la primavera

noun

[Wiktionary](https://en.wiktionary.org/wiki/primavera#Spanish)

———

ilkbahar",calendar,cal_9-k6TH-02oYc
"summer

noun

[Wiktionary](https://en.wiktionary.org/wiki/summer#English)","el verano

noun

[Wiktionary](https://en.wiktionary.org/wiki/verano#Spanish)

———

yaz",calendar,cal_k2Eul2lpFUlN
"autumn

noun
also *fall* (US)

[Wiktionary](https://en.wiktionary.org/wiki/autumn#English)","el otoño

noun

[Wiktionary](https://en.wiktionary.org/wiki/otoño#Spanish)

———

sonbahar",calendar,cal_zxToZ-tDrAid
"winter

noun

[Wiktionary](https://en.wiktionary.org/wiki/winter#English)","el invierno

noun

[Wiktionary](https://en.wiktionary.org/wiki/invierno#Spanish)

———

kış",calendar,cal_4G4XzQRsww6K
"morning

noun

[Wiktionary](https://en.wiktionary.org/wiki/morning#English)","la mañana

noun

[Wiktionary](https://en.wiktionary.org/wiki/mañana#Spanish)

———

sabah",calendar,cal_jDvpmQ-YBxay
"afternoon

noun

[Wiktionary](https://en.wiktionary.org/wiki/afternoon#English)","la tarde

noun

[Wiktionary](https://en.wiktionary.org/wiki/tarde#Spanish)

———

öğleden sonra",calendar,cal_b7zhqn4v8ycY
"evening

noun

[Wiktionary](https://en.wiktionary.org/wiki/evening#English)","la tarde

noun
also *la noche* depending on context

[Wiktionary](https://en.wiktionary.org/wiki/tarde#Spanish)

———

akşam",calendar,cal_l5CvO1LX6dTF
"night

noun

[Wiktionary](https://en.wiktionary.org/wiki/night#English)","la noche

noun

[Wiktionary](https://en.wiktionary.org/wiki/noche#Spanish)

———

gece",calendar,cal_R-JcgEoYNFMz
"noon

noun

[Wiktionary](https://en.wiktionary.org/wiki/noon#English)","el mediodía

noun

[Wiktionary](https://en.wiktionary.org/wiki/mediodía#Spanish)

———

öğle",calendar,cal_-ujtIBekWmfK
"midnight

noun

[Wiktionary](https://en.wiktionary.org/wiki/midnight#English)","la medianoche

noun

[Wiktionary](https://en.wiktionary.org/wiki/medianoche#Spanish)

———

gece yarısı",calendar,cal_ASYtkBNopXZW
"today

adverb

[Wiktionary](https://en.wiktionary.org/wiki/today#English)","hoy

adverb

[Wiktionary](https://en.wiktionary.org/wiki/hoy#Spanish)

———

bugün",calendar,cal_-BPHuhcL3CRl
"yesterday

adverb

[Wiktionary](https://en.wiktionary.org/wiki/yesterday#English)","ayer

adverb

[Wiktionary](https://en.wiktionary.org/wiki/ayer#Spanish)

———

dün",calendar,cal_SB4EbFz4gINV
"tomorrow

adverb

[Wiktionary](https://en.wiktionary.org/wiki/tomorrow#English)","mañana

adverb

[Wiktionary](https://en.wiktionary.org/wiki/mañana#Spanish)

———

yarın",calendar,cal_ZXgSC-lHbvHi
"day

noun

[Wiktionary](https://en.wiktionary.org/wiki/day#English)","el día

noun

[Wiktionary](https://en.wiktionary.org/wiki/día#Spanish)

———

gün",calendar,cal_VEcCTmQBXpg4
"date

noun

[Wiktionary](https://en.wiktionary.org/wiki/date#English)","la fecha

noun

[Wiktionary](https://en.wiktionary.org/wiki/fecha#Spanish)

———

tarih",calendar,cal_SUhxufoKJsqi
"week

noun

[Wiktionary](https://en.wiktionary.org/wiki/week#English)","la semana

noun

[Wiktionary](https://en.wiktionary.org/wiki/semana#Spanish)

———

hafta",calendar,cal_5TnCzeW8tjX9
"weekend

noun

[Wiktionary](https://en.wiktionary.org/wiki/weekend#English)","el fin de semana

noun

———

hafta sonu",calendar,cal_SwUSlMnHCeo6
"weekday

noun

[Wiktionary](https://en.wiktionary.org/wiki/weekday#English)","el día laborable

noun
working day; also *día hábil*

———

hafta içi",calendar,cal_2cqjGJGtxZqc
"month

noun

[Wiktionary](https://en.wiktionary.org/wiki/month#English)","el mes

noun

[Wiktionary](https://en.wiktionary.org/wiki/mes#Spanish)

———

ay",calendar,cal_37a8uXa6GsBU
"year

noun

[Wiktionary](https://en.wiktionary.org/wiki/year#English)","el año

noun

[Wiktionary](https://en.wiktionary.org/wiki/año#Spanish)

———

yıl",calendar,cal_uN6SiaabuNVG
"decade

noun

[Wiktionary](https://en.wiktionary.org/wiki/decade#English)","la década

noun

[Wiktionary](https://en.wiktionary.org/wiki/década#Spanish)

———

on yıl",calendar,cal_qijm73-xOjxV
"century

noun

[Wiktionary](https://en.wiktionary.org/wiki/century#English)","el siglo

noun

[Wiktionary](https://en.wiktionary.org/wiki/siglo#Spanish)

———

yüzyıl",calendar,cal_S3EC7tPGCyed
