id,deck,subdeck,en,es,tr
cal_DqF82ljE3yXG,Trio,Calendar,"Monday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Monday#English)","el lunes

noun

[Wiktionary](https://en.wiktionary.org/wiki/lunes#Spanish)",Pazartesi
cal_IrgqQtDMt2nc,Trio,Calendar,"Tuesday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Tuesday#English)","el martes

noun

[Wiktionary](https://en.wiktionary.org/wiki/martes#Spanish)",Salı
cal_uVqqcwoiMWUW,Trio,Calendar,"Wednesday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Wednesday#English)","el miércoles

noun

[Wiktionary](https://en.wiktionary.org/wiki/miércoles#Spanish)",Çarşamba
cal_8Si1V95R4DZt,Trio,Calendar,"Thursday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Thursday#English)","el jueves

noun

[Wiktionary](https://en.wiktionary.org/wiki/jueves#Spanish)",Perşembe
cal_j888r8sIgrxB,Trio,Calendar,"Friday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Friday#English)","el viernes

noun

[Wiktionary](https://en.wiktionary.org/wiki/viernes#Spanish)",Cuma
cal_zzM1Tam6zrSI,Trio,Calendar,"Saturday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Saturday#English)","el sábado

noun

[Wiktionary](https://en.wiktionary.org/wiki/sábado#Spanish)",Cumartesi
cal_Oetf4dYtqofg,Trio,Calendar,"Sunday

noun

[Wiktionary](https://en.wiktionary.org/wiki/Sunday#English)","el domingo

noun

[Wiktionary](https://en.wiktionary.org/wiki/domingo#Spanish)",Pazar
cal_4X7nwdwoWO_S,Trio,Calendar,"January

noun

[Wiktionary](https://en.wiktionary.org/wiki/January#English)","el enero

noun

[Wiktionary](https://en.wiktionary.org/wiki/enero#Spanish)",Ocak
cal_AXQVo6e5zG87,Trio,Calendar,"February

noun

[Wiktionary](https://en.wiktionary.org/wiki/February#English)","el febrero

noun

[Wiktionary](https://en.wiktionary.org/wiki/febrero#Spanish)",Şubat
cal_PfSsbyjyJaYz,Trio,Calendar,"March

noun

[Wiktionary](https://en.wiktionary.org/wiki/March#English)","el marzo

noun

[Wiktionary](https://en.wiktionary.org/wiki/marzo#Spanish)",Mart
cal_Y8kpiq9K-o7E,Trio,Calendar,"April

noun

[Wiktionary](https://en.wiktionary.org/wiki/April#English)","el abril

noun

[Wiktionary](https://en.wiktionary.org/wiki/abril#Spanish)",Nisan
cal_1zpYV3zoVINx,Trio,Calendar,"May

noun

[Wiktionary](https://en.wiktionary.org/wiki/May#English)","el mayo

noun

[Wiktionary](https://en.wiktionary.org/wiki/mayo#Spanish)",Mayıs
cal_2wju-caS_LPZ,Trio,Calendar,"June

noun

[Wiktionary](https://en.wiktionary.org/wiki/June#English)","el junio

noun

[Wiktionary](https://en.wiktionary.org/wiki/junio#Spanish)",Haziran
cal_oE2s2gAp7MNn,Trio,Calendar,"July

noun

[Wiktionary](https://en.wiktionary.org/wiki/July#English)","el julio

noun

[Wiktionary](https://en.wiktionary.org/wiki/julio#Spanish)",Temmuz
cal_lQI4_SXcUhor,Trio,Calendar,"August

noun

[Wiktionary](https://en.wiktionary.org/wiki/August#English)","el agosto

noun

[Wiktionary](https://en.wiktionary.org/wiki/agosto#Spanish)",Ağustos
cal_psdkByjUArvQ,Trio,Calendar,"September

noun

[Wiktionary](https://en.wiktionary.org/wiki/September#English)","el septiembre

noun

[Wiktionary](https://en.wiktionary.org/wiki/septiembre#Spanish)",Eylül
cal_3SpzSsfzelDn,Trio,Calendar,"October

noun

[Wiktionary](https://en.wiktionary.org/wiki/October#English)","el octubre

noun

[Wiktionary](https://en.wiktionary.org/wiki/octubre#Spanish)",Ekim
cal_B_-4Mi0XUGar,Trio,Calendar,"November

noun

[Wiktionary](https://en.wiktionary.org/wiki/November#English)","el noviembre

noun

[Wiktionary](https://en.wiktionary.org/wiki/noviembre#Spanish)",Kasım
cal_h5e0hvdbgU2c,Trio,Calendar,"December

noun

[Wiktionary](https://en.wiktionary.org/wiki/December#English)","el diciembre

noun

[Wiktionary](https://en.wiktionary.org/wiki/diciembre#Spanish)",Aralık
cal_9-k6TH-02oYc,Trio,Calendar,"spring

noun

[Wiktionary](https://en.wiktionary.org/wiki/spring#English)","la primavera

noun

[Wiktionary](https://en.wiktionary.org/wiki/primavera#Spanish)",ilkbahar
cal_k2Eul2lpFUlN,Trio,Calendar,"summer

noun

[Wiktionary](https://en.wiktionary.org/wiki/summer#English)","el verano

noun

[Wiktionary](https://en.wiktionary.org/wiki/verano#Spanish)",yaz
cal_zxToZ-tDrAid,Trio,Calendar,"autumn

noun
also *fall* (US)

[Wiktionary](https://en.wiktionary.org/wiki/autumn#English)","el otoño

noun

[Wiktionary](https://en.wiktionary.org/wiki/otoño#Spanish)",sonbahar
cal_4G4XzQRsww6K,Trio,Calendar,"winter

noun

[Wiktionary](https://en.wiktionary.org/wiki/winter#English)","el invierno

noun

[Wiktionary](https://en.wiktionary.org/wiki/invierno#Spanish)",kış
cal_jDvpmQ-YBxay,Trio,Calendar,"morning

noun

[Wiktionary](https://en.wiktionary.org/wiki/morning#English)","la mañana

noun

[Wiktionary](https://en.wiktionary.org/wiki/mañana#Spanish)",sabah
cal_b7zhqn4v8ycY,Trio,Calendar,"afternoon

noun

[Wiktionary](https://en.wiktionary.org/wiki/afternoon#English)","la tarde

noun

[Wiktionary](https://en.wiktionary.org/wiki/tarde#Spanish)",öğleden sonra
cal_l5CvO1LX6dTF,Trio,Calendar,"evening

noun

[Wiktionary](https://en.wiktionary.org/wiki/evening#English)","la tarde

noun
also *la noche* depending on context

[Wiktionary](https://en.wiktionary.org/wiki/tarde#Spanish)",akşam
cal_R-JcgEoYNFMz,Trio,Calendar,"night

noun

[Wiktionary](https://en.wiktionary.org/wiki/night#English)","la noche

noun

[Wiktionary](https://en.wiktionary.org/wiki/noche#Spanish)",gece
cal_-ujtIBekWmfK,Trio,Calendar,"noon

noun

[Wiktionary](https://en.wiktionary.org/wiki/noon#English)","el mediodía

noun

[Wiktionary](https://en.wiktionary.org/wiki/mediodía#Spanish)",öğle
cal_ASYtkBNopXZW,Trio,Calendar,"midnight

noun

[Wiktionary](https://en.wiktionary.org/wiki/midnight#English)","la medianoche

noun

[Wiktionary](https://en.wiktionary.org/wiki/medianoche#Spanish)",gece yarısı
cal_-BPHuhcL3CRl,Trio,Calendar,"today

adverb

[Wiktionary](https://en.wiktionary.org/wiki/today#English)","hoy

adverb

[Wiktionary](https://en.wiktionary.org/wiki/hoy#Spanish)",bugün
cal_SB4EbFz4gINV,Trio,Calendar,"yesterday

adverb

[Wiktionary](https://en.wiktionary.org/wiki/yesterday#English)","ayer

adverb

[Wiktionary](https://en.wiktionary.org/wiki/ayer#Spanish)",dün
cal_ZXgSC-lHbvHi,Trio,Calendar,"tomorrow

adverb

[Wiktionary](https://en.wiktionary.org/wiki/tomorrow#English)","mañana

adverb

[Wiktionary](https://en.wiktionary.org/wiki/mañana#Spanish)",yarın
cal_VEcCTmQBXpg4,Trio,Calendar,"day

noun

[Wiktionary](https://en.wiktionary.org/wiki/day#English)","el día

noun

[Wiktionary](https://en.wiktionary.org/wiki/día#Spanish)",gün
cal_SUhxufoKJsqi,Trio,Calendar,"date

noun

[Wiktionary](https://en.wiktionary.org/wiki/date#English)","la fecha

noun

[Wiktionary](https://en.wiktionary.org/wiki/fecha#Spanish)",tarih
cal_5TnCzeW8tjX9,Trio,Calendar,"week

noun

[Wiktionary](https://en.wiktionary.org/wiki/week#English)","la semana

noun

[Wiktionary](https://en.wiktionary.org/wiki/semana#Spanish)",hafta
cal_SwUSlMnHCeo6,Trio,Calendar,"weekend

noun

[Wiktionary](https://en.wiktionary.org/wiki/weekend#English)","el fin de semana

noun",hafta sonu
cal_2cqjGJGtxZqc,Trio,Calendar,"weekday

noun

[Wiktionary](https://en.wiktionary.org/wiki/weekday#English)","el día laborable

noun
working day; also *día hábil*",hafta içi
