id,deck,subdeck,en,es,tr
phr_29LuoRPBd9EB,trio-lingua,phrases_a,"Hello

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Hello)","Hola

phrase

[Wiktionary](https://en.wiktionary.org/wiki/hola)",Merhaba
phr_0bm6P_9q-QQE,trio-lingua,phrases_a,"Good morning

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Good_morning)","Buenos días

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Buenos_días)",Günaydın
phr_mz5anAkKMacW,trio-lingua,phrases_a,"Good afternoon

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Good_afternoon)","Buenas tardes

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Buenas_tardes)",Tünaydın
phr_f3j69y34JpmI,trio-lingua,phrases_a,"Good evening

phrase
also used as *good night*

[Wiktionary](https://en.wiktionary.org/wiki/Good_evening)","Buenas noches

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Buenas_noches)",İyi akşamlar
phr_Gs8wKX07cr2a,trio-lingua,phrases_a,"Good night

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Good_night)","Buenas noches

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Buenas_noches)",İyi geceler
phr_K1Wz-mgA57uz,trio-lingua,phrases_a,"Goodbye

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Goodbye)","Adiós

phrase

[Wiktionary](https://en.wiktionary.org/wiki/adiós)",Hoşça kal
phr_iz0lsQFxsSM_,trio-lingua,phrases_a,"See you later

phrase

[Wiktionary](https://en.wiktionary.org/wiki/See_you_later)","Hasta luego

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Hasta_luego)",Görüşürüz
phr_3LLMdmMtjBK5,trio-lingua,phrases_a,"See you soon

phrase

[Wiktionary](https://en.wiktionary.org/wiki/See_you_soon)","Hasta pronto

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Hasta_pronto)",Yakında görüşürüz
phr_38knXjPK10es,trio-lingua,phrases_a,"See you tomorrow

phrase

[Wiktionary](https://en.wiktionary.org/wiki/See_you_tomorrow)","Hasta mañana

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Hasta_mañana)",Yarın görüşürüz
phr_kdYI1gLsDDUg,trio-lingua,phrases_a,"Welcome

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Welcome)","Bienvenido, Bienvenida

phrase

[Wiktionary](https://en.wiktionary.org/wiki/bienvenido)",Hoş geldin
phr_8VSkx-QHyZAb,trio-lingua,phrases_a,"Please

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Please)","Por favor

phrase

[Wiktionary](https://en.wiktionary.org/wiki/por_favor)",Lütfen
phr_k7gsg9iLyT5Y,trio-lingua,phrases_a,"Thank you

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Thank_you)","Gracias

phrase

[Wiktionary](https://en.wiktionary.org/wiki/gracias)",Teşekkürler
phr_wpibgadLrnC0,trio-lingua,phrases_a,"Thank you very much

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Thank_you_very_much)","Muchas gracias

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Muchas_gracias)",Çok teşekkürler
phr_kCeAbO3L0Yt9,trio-lingua,phrases_a,"You're welcome

phrase

[Wiktionary](https://en.wiktionary.org/wiki/You're_welcome)","De nada

phrase

[Wiktionary](https://en.wiktionary.org/wiki/de_nada)",Rica ederim
phr_5_QLXy05uuv-,trio-lingua,phrases_a,"Excuse me

phrase
also *Disculpe* (more formal)

[Wiktionary](https://en.wiktionary.org/wiki/Excuse_me)","Perdón

phrase

[Wiktionary](https://en.wiktionary.org/wiki/perdón)",Affedersiniz
phr_L5JImj7MMIOD,trio-lingua,phrases_a,"I'm sorry

phrase

[Wiktionary](https://en.wiktionary.org/wiki/I'm_sorry)","Lo siento

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Lo_siento)",Özür dilerim
phr_YZSzEoT__w6M,trio-lingua,phrases_a,"with your permission

phrase
used when passing by someone; often glossed as *excuse me*

[Wiktionary](https://en.wiktionary.org/wiki/with_your_permission)","Con permiso

phrase

[Wiktionary](https://en.wiktionary.org/wiki/con_permiso)",İzninizle
phr_8OtYl58P_5bG,trio-lingua,phrases_a,"Yes

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Yes)","Sí

phrase

[Wiktionary](https://en.wiktionary.org/wiki/sí)",Evet
phr_60cXiMJp1wvN,trio-lingua,phrases_a,"No

phrase

[Wiktionary](https://en.wiktionary.org/wiki/No)","No

phrase

[Wiktionary](https://en.wiktionary.org/wiki/no)",Hayır
phr_TiMK1VFOMh2w,trio-lingua,phrases_a,"Maybe

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Maybe)","Tal vez, Quizás

phrase

[Wiktionary](https://en.wiktionary.org/wiki/tal_vez)",Belki
phr_tBFmlooe5wlq,trio-lingua,phrases_a,"Of course

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Of_course)","Claro, Por supuesto

phrase

[Wiktionary](https://en.wiktionary.org/wiki/claro)",Tabii ki
phr_sVM44DR_xOEg,trio-lingua,phrases_a,"That's all

phrase

[Wiktionary](https://en.wiktionary.org/wiki/That's_all)","Eso es todo

phrase

[Wiktionary](https://en.wiktionary.org/wiki/todo)",Hepsi bu
phr_eAR8jsneSRlt,trio-lingua,phrases_a,"It doesn't matter

phrase

[Wiktionary](https://en.wiktionary.org/wiki/It_doesn't_matter)","No importa

phrase

[Wiktionary](https://en.wiktionary.org/wiki/importar)",Önemli değil
phr_5vc7-hQVjK8w,trio-lingua,phrases_a,"How nice!

phrase
natural gloss: *That's great!*

[Wiktionary](https://en.wiktionary.org/wiki/How_nice)","¡Qué bien!

phrase

[Wiktionary](https://en.wiktionary.org/wiki/qué)",Ne güzel!
phr_3G1CyrPi3rrd,trio-lingua,phrases_a,"very well

phrase

[Wiktionary](https://en.wiktionary.org/wiki/very_well)","muy bien

phrase

[Wiktionary](https://en.wiktionary.org/wiki/bien)",çok iyi
phr_yPBj9pg6Vsw4,trio-lingua,phrases_a,"How are you?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/How_are_you)","¿Cómo estás?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Cómo_estás)",Nasılsın?
phr_JgJ3FE6xo-Ka,trio-lingua,phrases_a,"Fine, thanks. And you?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/Fine,_thanks_And_you)","Bien, gracias. ¿Y tú?

phrase

[Wiktionary](https://en.wiktionary.org/wiki/bien)","İyiyim, teşekkürler. Ya sen?"
