id,deck,subdeck,front,back
bsiMAPbEc4Yu,verbs,imperativo,"Imperativo

Used for direct commands. No yo form. Tú and vosotros affirmative have their own forms; usted, nosotros, ustedes, and every negative use the present subjunctive.",
EOxdKblj1wxn,verbs,imperativo,"hablar
imperativo","—
habla - no hables
hable - no hable
hablemos - no hablemos
hablad - no habléis
hablen - no hablen"
K-F5SOhju_wV,verbs,imperativo,"viajar
imperativo","—
viaja - no viajes
viaje - no viaje
viajemos - no viajemos
viajad - no viajéis
viajen - no viajen"
Sic7WTKS0BBq,verbs,imperativo,"estudiar
imperativo","—
estudia - no estudies
estudie - no estudie
estudiemos - no estudiemos
estudiad - no estudiéis
estudien - no estudien"
_rxDLqIl9ggR,verbs,imperativo,"comprar
imperativo","—
compra - no compres
compre - no compre
compremos - no compremos
comprad - no compréis
compren - no compren"
oa6TIsZcabZA,verbs,imperativo,"trabajar
imperativo","—
trabaja - no trabajes
trabaje - no trabaje
trabajemos - no trabajemos
trabajad - no trabajéis
trabajen - no trabajen"
cTTv6MqfykXA,verbs,imperativo,"comer
imperativo","—
come - no comas
coma - no coma
comamos - no comamos
comed - no comáis
coman - no coman"
9ytMb1Viwfu4,verbs,imperativo,"leer
imperativo","—
lee - no leas
lea - no lea
leamos - no leamos
leed - no leáis
lean - no lean"
Pb11ZRr_1-ix,verbs,imperativo,"responder
imperativo","—
responde - no respondas
responda - no responda
respondamos - no respondamos
responded - no respondáis
respondan - no respondan"
roV9CteniwKO,verbs,imperativo,"beber
imperativo","—
bebe - no bebas
beba - no beba
bebamos - no bebamos
bebed - no bebáis
beban - no beban"
qahn43ydkVou,verbs,imperativo,"vender
imperativo","—
vende - no vendas
venda - no venda
vendamos - no vendamos
vended - no vendáis
vendan - no vendan"
XzfFzH5A853c,verbs,imperativo,"vivir
imperativo","—
vive - no vivas
viva - no viva
vivamos - no vivamos
vivid - no viváis
vivan - no vivan"
Mo6HLVKo-yRG,verbs,imperativo,"decidir
imperativo","—
decide - no decidas
decida - no decida
decidamos - no decidamos
decidid - no decidáis
decidan - no decidan"
bvP-HIkeKWNv,verbs,imperativo,"escribir
imperativo","—
escribe - no escribas
escriba - no escriba
escribamos - no escribamos
escribid - no escribáis
escriban - no escriban"
ntdQXLr9_xnp,verbs,imperativo,"abrir
imperativo","—
abre - no abras
abra - no abra
abramos - no abramos
abrid - no abráis
abran - no abran"
j9H9PMf1Jt-d,verbs,imperativo,"recibir
imperativo","—
recibe - no recibas
reciba - no reciba
recibamos - no recibamos
recibid - no recibáis
reciban - no reciban"
a9Mc69Oc7R9g,verbs,imperativo,"ser
imperativo*","—
sé - no seas
sea - no sea
seamos - no seamos
sed - no seáis
sean - no sean"
dqk2bZU9EE7b,verbs,imperativo,"estar
imperativo*","—
está - no estés
esté - no esté
estemos - no estemos
estad - no estéis
estén - no estén"
EOzKI3lRk2Td,verbs,imperativo,"tener
imperativo*","—
ten - no tengas
tenga - no tenga
tengamos - no tengamos
tened - no tengáis
tengan - no tengan"
XYdiJfLxZIh6,verbs,imperativo,"hacer
imperativo*","—
haz - no hagas
haga - no haga
hagamos - no hagamos
haced - no hagáis
hagan - no hagan"
OvMSc5WJKtb4,verbs,imperativo,"querer
imperativo","—
quiere - no quieras
quiera - no quiera
queramos - no queramos
quered - no queráis
quieran - no quieran"
_fZduymIq5-6,verbs,imperativo,"ir
imperativo*","—
ve - no vayas
vaya - no vaya
vamos - no vayamos
id - no vayáis
vayan - no vayan"
0DQwbEyF9yDG,verbs,imperativo,"dar
imperativo*","—
da - no des
dé - no dé
demos - no demos
dad - no deis
den - no den"
J6skkhhiNeef,verbs,imperativo,"ver
imperativo","—
ve - no veas
vea - no vea
veamos - no veamos
ved - no veáis
vean - no vean"
S-yRBPxVGKHS,verbs,imperativo,"oír
imperativo","—
oye - no oigas
oiga - no oiga
oigamos - no oigamos
oíd - no oigáis
oigan - no oigan"
S46hrxTAr9xf,verbs,imperativo,"saber
imperativo*","—
sabe - no sepas
sepa - no sepa
sepamos - no sepamos
sabed - no sepáis
sepan - no sepan"
5Ldv3Q4oM0X2,verbs,imperativo,"salir
imperativo*","—
sal - no salgas
salga - no salga
salgamos - no salgamos
salid - no salgáis
salgan - no salgan"
qYXrHtJkQhlX,verbs,imperativo,"poder
imperativo","—
puede - no puedas
pueda - no pueda
podamos - no podamos
poded - no podáis
puedan - no puedan"
BjrAU8-Vhfkd,verbs,imperativo,"decir
imperativo*","—
di - no digas
diga - no diga
digamos - no digamos
decid - no digáis
digan - no digan"
rVwbjHR3eNYT,verbs,imperativo,"poner
imperativo*","—
pon - no pongas
ponga - no ponga
pongamos - no pongamos
poned - no pongáis
pongan - no pongan"
STvxIv0kj8Qp,verbs,imperativo,"venir
imperativo*","—
ven - no vengas
venga - no venga
vengamos - no vengamos
venid - no vengáis
vengan - no vengan"
