id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
tra_LeVerozikUMw,trio-lingua,travel,travel / trip,el viaje,seyahat / yolculuk,noun,term,travel,,,,,,,
tra_zbCWXWx9HvzS,trio-lingua,travel,to travel,viajar,seyahat etmek,verb,term,travel,,,,,,,
tra_AZg_hGRuy0Az,trio-lingua,travel,to go,ir,gitmek,verb,term,travel,,,,"irregular: voy, vas, va…",,,
tra_AyQHyg6-mDCQ,trio-lingua,travel,to arrive,llegar,varmak,verb,term,travel,,,,,,,
tra_zJKfQkFO65aM,trio-lingua,travel,to leave / depart,salir,ayrılmak / kalkmak,verb,term,travel,,,,,,,
tra_pPyf-L6PQ40W,trio-lingua,travel,ticket,el billete / el boleto,bilet,noun,term,travel,,,,"billete in Spain, boleto in Latin America",,,
tra_gbmrTeLNlRsY,trio-lingua,travel,passport,el pasaporte,pasaport,noun,term,travel,,,,,,,
tra_mTt4fa-IOHEb,trio-lingua,travel,luggage,el equipaje,bagaj,noun,term,travel,,,,,,,
tra_i8T6wcQ1Szl5,trio-lingua,travel,suitcase,la maleta,valiz,noun,term,travel,,,,,,,
tra_4znH_0hhuSrM,trio-lingua,travel,backpack,la mochila,sırt çantası,noun,term,travel,,,,,,,
tra_IAF2NlD1Y5A_,trio-lingua,travel,map,el mapa,harita,noun,term,travel,,,,masculine despite ending in -a,,,
tra_bqI-CXNaOhIK,trio-lingua,travel,hotel,el hotel,otel,noun,term,travel,,,,,,,
tra_YnAP7ynYSrUi,trio-lingua,travel,room,la habitación,oda,noun,term,travel,,,,,,,
tra_Kp36_wT1ZaYR,trio-lingua,travel,key,la llave,anahtar,noun,term,travel,,,,,,,
tra_koWYQaqj84po,trio-lingua,travel,tourist,el turista / la turista,turist,noun,term,travel,,,,,,,
tra_EyxcZNiuEVGy,trio-lingua,travel,transportation,el transporte,ulaşım,noun,term,transportation,,,,,,,
tra_RWXjAH9TZz76,trio-lingua,travel,car,el coche / el carro,araba,noun,term,transportation,,,,"coche in Spain, carro in Latin America",,,
tra_2IJ5rWUBflPy,trio-lingua,travel,bus,el autobús,otobüs,noun,term,transportation,,,,,,,
tra_1qfXZfpju1mU,trio-lingua,travel,train,el tren,tren,noun,term,transportation,,,,,,,
tra_c0ahOGkG9k3Q,trio-lingua,travel,plane,el avión,uçak,noun,term,transportation,,,,,,,
tra_2DhDeQB0PvoK,trio-lingua,travel,taxi,el taxi,taksi,noun,term,transportation,,,,,,,
tra_6Kdd9y_eOCVF,trio-lingua,travel,subway / metro,el metro,metro,noun,term,transportation,,,,,,,
tra_EXtmrXr7CQUW,trio-lingua,travel,bicycle,la bicicleta,bisiklet,noun,term,transportation,,,,,,,
