id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
wea_6lZXCBUp9zzT,trio-lingua,weather,weather,el tiempo,hava (durumu),noun,term,general,,,,el tiempo also means 'time',,,
wea_vtBz78mtT0pv,trio-lingua,weather,What's the weather like?,¿Qué tiempo hace?,Hava nasıl?,phrase,phrase,general,,,,,,,
wea_mdqAA6OETHBI,trio-lingua,weather,climate,el clima,iklim,noun,term,general,,,,masculine despite ending in -a,,,
wea_qw22Zj5og5vE,trio-lingua,weather,forecast,el pronóstico,hava tahmini,noun,term,general,,,,,,,
wea_I4kdSUST2sZi,trio-lingua,weather,temperature,la temperatura,sıcaklık,noun,term,general,,,,,,,
wea_2X-wPN0E_E0y,trio-lingua,weather,degree,el grado,derece,noun,term,general,,,,,,,
wea_hGMPPbJ8BLI-,trio-lingua,weather,sun,el sol,güneş,noun,term,conditions,,,,,,,
wea_1A-9gqgmLtDB,trio-lingua,weather,rain,la lluvia,yağmur,noun,term,conditions,,,,,,,
wea_seK8Mi8MVunl,trio-lingua,weather,snow,la nieve,kar,noun,term,conditions,,,,,,,
wea_XNcFPUnS7g3g,trio-lingua,weather,wind,el viento,rüzgâr,noun,term,conditions,,,,,,,
wea_5VoJDqfwF9LA,trio-lingua,weather,cloud,la nube,bulut,noun,term,conditions,,,,,,,
wea_phJoE5-1vf_z,trio-lingua,weather,sky,el cielo,gökyüzü,noun,term,conditions,,,,,,,
wea_b7kezDu4UCOG,trio-lingua,weather,storm,la tormenta,fırtına,noun,term,conditions,,,,,,,
wea_-7Jc9RDJxSqi,trio-lingua,weather,fog,la niebla,sis,noun,term,conditions,,,,,,,
wea__r-d8TWSY3FC,trio-lingua,weather,ice,el hielo,buz,noun,term,conditions,,,,,,,
wea_xl2tLMo2DOjj,trio-lingua,weather,thunder,el trueno,gök gürültüsü,noun,term,conditions,,,,,,,
wea_DqVwUzk2HwK8,trio-lingua,weather,lightning,el relámpago,şimşek,noun,term,conditions,,,,,,,
wea_QNsOiwliLYVg,trio-lingua,weather,rainbow,el arcoíris,gökkuşağı,noun,term,conditions,,,,,,,
wea_2ne4wQlSs2UJ,trio-lingua,weather,shade / shadow,la sombra,gölge,noun,term,conditions,,,,,,,
wea_tN0z7z6hNci4,trio-lingua,weather,umbrella,el paraguas,şemsiye,noun,term,conditions,,,,,,,
wea_4Ga2vQSJ-Fmk,trio-lingua,weather,sunny,soleado / soleada,güneşli,adjective,term,describing,,,,,,,
wea_hegBBkLdOdmC,trio-lingua,weather,cloudy,nublado / nublada,bulutlu,adjective,term,describing,,,,,,,
wea_DXtF7QnMvWTj,trio-lingua,weather,rainy,lluvioso / lluviosa,yağmurlu,adjective,term,describing,,,,,,,
wea_0k98oRzoB1yU,trio-lingua,weather,windy,ventoso / ventosa,rüzgârlı,adjective,term,describing,,,,,,,
wea_YF8abawrwakQ,trio-lingua,weather,humid,húmedo / húmeda,nemli,adjective,term,describing,,,,,,,
wea_0M-ToWrFgBNr,trio-lingua,weather,dry,seco / seca,kuru,adjective,term,describing,,,,,,,
wea_fAdOw5fDxGvg,trio-lingua,weather,warm,templado / cálido,ılık,adjective,term,describing,,,,,,,
wea_ln8KcEA7zWwY,trio-lingua,weather,cool (temperature),fresco / fresca,serin,adjective,term,describing,,,,,,,
wea_tZBEgohssBU6,trio-lingua,weather,to rain,llover,yağmur yağmak,verb,term,verbs,,,,irregular: llueve,,,
wea_GpUhccagDcys,trio-lingua,weather,to snow,nevar,kar yağmak,verb,term,verbs,,,,irregular: nieva,,,
wea_qGNqCtNVBBQQ,trio-lingua,weather,It's hot.,Hace calor.,Hava sıcak.,phrase,phrase,expressions,,,,"weather uses hacer, not ser/estar",,,
wea_iZz3n2LpXfQb,trio-lingua,weather,It's cold.,Hace frío.,Hava soğuk.,phrase,phrase,expressions,,,,,,,
wea_26f1iAVm8XmB,trio-lingua,weather,It's sunny.,Hace sol.,Hava güneşli.,phrase,phrase,expressions,,,,,,,
wea_d8R0CoNqJNy3,trio-lingua,weather,It's windy.,Hace viento.,Rüzgârlı.,phrase,phrase,expressions,,,,,,,
wea_WVIEcxabHtfo,trio-lingua,weather,The weather is nice.,Hace buen tiempo.,Hava güzel.,phrase,phrase,expressions,,,,,,,
wea_q0YiiMiHfYnN,trio-lingua,weather,The weather is bad.,Hace mal tiempo.,Hava kötü.,phrase,phrase,expressions,,,,,,,
wea_INHR34REsspO,trio-lingua,weather,It's raining.,Llueve. / Está lloviendo.,Yağmur yağıyor.,phrase,phrase,expressions,,,,,,,
wea_oqzLuZNHvia7,trio-lingua,weather,It's snowing.,Nieva. / Está nevando.,Kar yağıyor.,phrase,phrase,expressions,,,,,,,
wea_3B58lbNdpL1A,trio-lingua,weather,It's cloudy.,Está nublado.,Hava bulutlu.,phrase,phrase,expressions,,,,,,,
wea_YwaPhh8HqHi5,trio-lingua,weather,It's 20 degrees.,Estamos a veinte grados.,Hava 20 derece.,phrase,phrase,expressions,,,,,,,
