id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
gra_5f42hdC2krBD,trio-lingua,grammar,the (masculine singular),el,belirli artikel (eril tekil),article,term,definite-articles,,,,,,,
gra_2OZEqsDKIrvE,trio-lingua,grammar,the (feminine singular),la,belirli artikel (dişil tekil),article,term,definite-articles,,,,,,,
gra_HiUCazMwaAPM,trio-lingua,grammar,the (masculine plural),los,belirli artikel (eril çoğul),article,term,definite-articles,,,,,,,
gra_OD2mSp1BjkSo,trio-lingua,grammar,the (feminine plural),las,belirli artikel (dişil çoğul),article,term,definite-articles,,,,,,,
gra_hOFWhHyjXW1d,trio-lingua,grammar,a / an (masculine singular),un,belirsiz artikel (eril tekil),article,term,indefinite-articles,,,,,,,
gra_NLb7lrDR8Qdr,trio-lingua,grammar,a / an (feminine singular),una,belirsiz artikel (dişil tekil),article,term,indefinite-articles,,,,,,,
gra_wf1KEvmzNXmY,trio-lingua,grammar,some (masculine plural),unos,belirsiz artikel (eril çoğul) / bazı,article,term,indefinite-articles,,,,,,,
gra_IUaWYss1J5Tq,trio-lingua,grammar,some (feminine plural),unas,belirsiz artikel (dişil çoğul) / bazı,article,term,indefinite-articles,,,,,,,
gra_JmE1KAZdpUSy,trio-lingua,grammar,I,yo,ben,pronoun,term,pronouns,,,,subject pronoun,,,
gra_UDhTTIRL2pIl,trio-lingua,grammar,you (informal singular),tú,"sen (tekil, samimi)",pronoun,term,pronouns,,,,subject pronoun; accent on ú,,,
gra_b2_lj1YkvjjM,trio-lingua,grammar,he,él,o (erkek),pronoun,term,pronouns,,,,subject pronoun; accent on é,,,
gra_AD1yalrcidmp,trio-lingua,grammar,she,ella,o (kadın),pronoun,term,pronouns,,,,subject pronoun,,,
gra_EYTVjQuCIFzw,trio-lingua,grammar,you (formal singular),usted (ud.),"siz (tekil, resmi)",pronoun,term,pronouns,,,,subject pronoun; takes 3rd-person verbs,,,
gra_df4-FAc91m3G,trio-lingua,grammar,we (masculine / mixed),nosotros,biz (eril / karma),pronoun,term,pronouns,,,,subject pronoun,,,
gra_UJ1QK8BdNvC9,trio-lingua,grammar,we (feminine),nosotras,biz (dişil),pronoun,term,pronouns,,,,subject pronoun,,,
gra_K6G9lWUaDjKH,trio-lingua,grammar,"you all (informal, Spain)",vosotros,"siz (çoğul, samimi — İspanya)",pronoun,term,pronouns,,,,subject pronoun; mainly Spain,,,
gra_BnUl2kscto_S,trio-lingua,grammar,"you all (feminine, Spain)",vosotras,"siz (dişil çoğul, samimi — İspanya)",pronoun,term,pronouns,,,,subject pronoun; mainly Spain,,,
gra_NRTWoSAtIQdD,trio-lingua,grammar,they (masculine / mixed),ellos,onlar (eril / karma),pronoun,term,pronouns,,,,subject pronoun,,,
gra_2OK7p8TZRLsw,trio-lingua,grammar,they (feminine),ellas,onlar (dişil),pronoun,term,pronouns,,,,subject pronoun,,,
gra_wE6_MzZX3MpJ,trio-lingua,grammar,you all (formal / LatAm),ustedes (uds.),"siz (çoğul, resmi / LatAm)",pronoun,term,pronouns,,,,subject pronoun; takes 3rd-person plural verbs,,,
gra_kjUDzhPVKLfQ,trio-lingua,grammar,to be (ser),ser,olmak (kalıcı / kimlik / özellik),verb,term,ser,,,,"essence, identity, origin, time, profession — permanent or defining",,,
gra_fsfms6fol9mU,trio-lingua,grammar,I am (ser),(yo) soy,(ben) …im / …yım (ser),verb,term,ser,,,,present indicative,,,
gra_NtXrmORfE8L-,trio-lingua,grammar,"you are (ser, informal)",(tú) eres,(sen) …sin (ser),verb,term,ser,,,,present indicative,,,
gra__dTXNJBW1dck,trio-lingua,grammar,he / she / you formal is (ser),(él / ella / usted) es,(o / siz) …dir / …dır (ser),verb,term,ser,,,,present indicative,,,
gra_wMPNH2yQBFF-,trio-lingua,grammar,we are (ser),(nosotros / nosotras) somos,(biz) …iz / …yiz (ser),verb,term,ser,,,,present indicative,,,
gra_W_sBZe7i_jd2,trio-lingua,grammar,"you all are (ser, Spain)",(vosotros / vosotras) sois,(siz) …siniz (ser — İspanya),verb,term,ser,,,,present indicative,,,
gra_si9TokTmucjn,trio-lingua,grammar,they / you all are (ser),(ellos / ellas / ustedes) son,(onlar / siz) …dirler / …dırlar (ser),verb,term,ser,,,,present indicative,,,
gra_cmIxMnq1yp3N,trio-lingua,grammar,to be (estar),estar,olmak / bulunmak (geçici / konum / durum),verb,term,estar,,,,"location, temporary state, emotion, progressive — how/where something is",,,
gra_1BqOZlhCBMEe,trio-lingua,grammar,I am (estar),(yo) estoy,(ben) …im / bulunuyorum (estar),verb,term,estar,,,,present indicative,,,
gra_FQ7bNfLQ0iQi,trio-lingua,grammar,"you are (estar, informal)",(tú) estás,(sen) …sin / bulunuyorsun (estar),verb,term,estar,,,,present indicative,,,
gra_tROwvacBD8K4,trio-lingua,grammar,he / she / you formal is (estar),(él / ella / usted) está,(o / siz) …dir / bulunuyor (estar),verb,term,estar,,,,present indicative,,,
gra_fXfqvxgW1zmu,trio-lingua,grammar,we are (estar),(nosotros / nosotras) estamos,(biz) …iz / bulunuyoruz (estar),verb,term,estar,,,,present indicative,,,
gra_pjTnH8kizlwa,trio-lingua,grammar,"you all are (estar, Spain)",(vosotros / vosotras) estáis,(siz) …siniz / bulunuyorsunuz (estar — İspanya),verb,term,estar,,,,present indicative,,,
gra_mSDMKjHSnI3_,trio-lingua,grammar,they / you all are (estar),(ellos / ellas / ustedes) están,(onlar / siz) …dirler / bulunuyorlar (estar),verb,term,estar,,,,present indicative,,,
