id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
num_oNgKiKS-iZwE,trio-lingua,numbers,number,el número,sayı,noun,term,general,,,,,,,
num_ph8gb9K5ILv8,trio-lingua,numbers,zero,cero,sıfır,number,term,cardinals,,,,,,,
num_XVXC2SmkTHRM,trio-lingua,numbers,one,uno / un / una,bir,number,term,cardinals,,,,"un before masc. noun, una before fem.",,,
num_wkUeZ86UT6KD,trio-lingua,numbers,two,dos,iki,number,term,cardinals,,,,,,,
num_w0bv2w-f1Ubc,trio-lingua,numbers,three,tres,üç,number,term,cardinals,,,,,,,
num_6EQMeHO8zati,trio-lingua,numbers,four,cuatro,dört,number,term,cardinals,,,,,,,
num_msmJ0LNDIBk5,trio-lingua,numbers,five,cinco,beş,number,term,cardinals,,,,,,,
num_OnOsSUcFGKML,trio-lingua,numbers,six,seis,altı,number,term,cardinals,,,,,,,
num_sp6sSGYB9d3I,trio-lingua,numbers,seven,siete,yedi,number,term,cardinals,,,,,,,
num_Sn18U2Ua53dC,trio-lingua,numbers,eight,ocho,sekiz,number,term,cardinals,,,,,,,
num_38Xd6mslzpoF,trio-lingua,numbers,nine,nueve,dokuz,number,term,cardinals,,,,,,,
num_j8p3Yv6UeeM_,trio-lingua,numbers,ten,diez,on,number,term,cardinals,,,,,,,
num_-pdQQXKmPpif,trio-lingua,numbers,eleven,once,on bir,number,term,cardinals,,,,,,,
num_sl5wa18Z7cFC,trio-lingua,numbers,twelve,doce,on iki,number,term,cardinals,,,,,,,
num_iTjW9SbcZJZV,trio-lingua,numbers,thirteen,trece,on üç,number,term,cardinals,,,,,,,
num_iejG7Ba2hGYo,trio-lingua,numbers,fourteen,catorce,on dört,number,term,cardinals,,,,,,,
num_4Xo83aSH0IZL,trio-lingua,numbers,fifteen,quince,on beş,number,term,cardinals,,,,,,,
num_p3pvGZjxOaXe,trio-lingua,numbers,sixteen,dieciséis,on altı,number,term,cardinals,,,,,,,
num_76FAekhumU80,trio-lingua,numbers,seventeen,diecisiete,on yedi,number,term,cardinals,,,,,,,
num_yDpwDCNW8M2H,trio-lingua,numbers,eighteen,dieciocho,on sekiz,number,term,cardinals,,,,,,,
num_iH3Z9Wya1--w,trio-lingua,numbers,nineteen,diecinueve,on dokuz,number,term,cardinals,,,,,,,
num_xqDpgeHjsON9,trio-lingua,numbers,twenty,veinte,yirmi,number,term,cardinals,,,,,,,
num_8Rj2_k1WtJvA,trio-lingua,numbers,twenty-one,veintiuno,yirmi bir,number,term,cardinals,,,,21–29 are written as one word,,,
num_tONiHqriffJb,trio-lingua,numbers,thirty,treinta,otuz,number,term,cardinals,,,,,,,
num_7gdQUHgmY-eI,trio-lingua,numbers,forty,cuarenta,kırk,number,term,cardinals,,,,,,,
num_3vwRzW9jjLwL,trio-lingua,numbers,fifty,cincuenta,elli,number,term,cardinals,,,,,,,
num_02e7d9BUA3tf,trio-lingua,numbers,sixty,sesenta,altmış,number,term,cardinals,,,,,,,
num_OIpPvWw5qmHF,trio-lingua,numbers,seventy,setenta,yetmiş,number,term,cardinals,,,,,,,
num_WcTcKxoyL5KH,trio-lingua,numbers,eighty,ochenta,seksen,number,term,cardinals,,,,,,,
num_2URK_HcuDAsv,trio-lingua,numbers,ninety,noventa,doksan,number,term,cardinals,,,,,,,
num_NLzrMHFPXxTq,trio-lingua,numbers,one hundred,cien / ciento,yüz,number,term,cardinals,,,,cien exactly 100; ciento in 101–199,,,
num_0HEljOPx595P,trio-lingua,numbers,two hundred,doscientos,iki yüz,number,term,cardinals,,,,,,,
num_Gf2_DxPDsyGG,trio-lingua,numbers,one thousand,mil,bin,number,term,cardinals,,,,,,,
num_4u-L7synvGFT,trio-lingua,numbers,one million,un millón,bir milyon,number,term,cardinals,,,,,,,
num_8jy-PNfAGAOP,trio-lingua,numbers,first,primero / primera,birinci,adjective,term,ordinals,,,,primer before a masc. singular noun,,,
num_IMDT_CzfO6-Q,trio-lingua,numbers,second,segundo / segunda,ikinci,adjective,term,ordinals,,,,,,,
num_aBL27jfAkicU,trio-lingua,numbers,third,tercero / tercera,üçüncü,adjective,term,ordinals,,,,tercer before a masc. singular noun,,,
num_ELjl2VBSnpIR,trio-lingua,numbers,fourth,cuarto / cuarta,dördüncü,adjective,term,ordinals,,,,,,,
num_I8DnL9hCU7AR,trio-lingua,numbers,fifth,quinto / quinta,beşinci,adjective,term,ordinals,,,,,,,
num_XWVJO_dqNkkC,trio-lingua,numbers,sixth,sexto / sexta,altıncı,adjective,term,ordinals,,,,,,,
num_xxp755y8mGHQ,trio-lingua,numbers,seventh,séptimo / séptima,yedinci,adjective,term,ordinals,,,,,,,
num_eO-tbdWPacN8,trio-lingua,numbers,eighth,octavo / octava,sekizinci,adjective,term,ordinals,,,,,,,
num_n28yIqj89Qn1,trio-lingua,numbers,ninth,noveno / novena,dokuzuncu,adjective,term,ordinals,,,,,,,
num_E3t5Mb67_prj,trio-lingua,numbers,tenth,décimo / décima,onuncu,adjective,term,ordinals,,,,,,,
num_68S2ufB8nU53,trio-lingua,numbers,How many?,¿Cuántos? / ¿Cuántas?,Kaç tane?,phrase,phrase,general,,,,,,,
