id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
des_AAOFxMDqFPmz,trio-lingua,descriptions,color,el color,renk,noun,term,colors,,,,,,,
des_xwiGTcR_mGqQ,trio-lingua,descriptions,red,rojo / roja,kırmızı,adjective,term,colors,,,,,,,
des_ODsglQjUYrMb,trio-lingua,descriptions,blue,azul,mavi,adjective,term,colors,,,,invariable in gender,,,
des__G55h9ink1va,trio-lingua,descriptions,green,verde,yeşil,adjective,term,colors,,,,invariable in gender,,,
des_axKUo_ukSCXY,trio-lingua,descriptions,yellow,amarillo / amarilla,sarı,adjective,term,colors,,,,,,,
des_-7GHobLDEBPv,trio-lingua,descriptions,black,negro / negra,siyah,adjective,term,colors,,,,,,,
des_h-uOJyYyEOhh,trio-lingua,descriptions,white,blanco / blanca,beyaz,adjective,term,colors,,,,,,,
des_IDlPWW87aMNh,trio-lingua,descriptions,orange,naranja,turuncu,adjective,term,colors,,,,invariable; same word as the fruit,,,
des_uamSkp-qkOjc,trio-lingua,descriptions,purple,morado / morada,mor,adjective,term,colors,,,,,,,
des_p3vbqlQe2LkS,trio-lingua,descriptions,pink,rosa,pembe,adjective,term,colors,,,,invariable,,,
des_fedyijSNTw5t,trio-lingua,descriptions,brown,marrón,kahverengi,adjective,term,colors,,,,,,,
des_oTms3tCg5QQR,trio-lingua,descriptions,gray,gris,gri,adjective,term,colors,,,,,,,
des_7I2d_vi_jjMG,trio-lingua,descriptions,light (color),claro / clara,açık (renk),adjective,term,colors,,,,e.g. azul claro,,,
des_wtUPjfeCHwIO,trio-lingua,descriptions,dark (color),oscuro / oscura,koyu (renk),adjective,term,colors,,,,e.g. azul oscuro,,,
des_P8ZAzAL2i-Uo,trio-lingua,descriptions,big,grande,büyük,adjective,term,adjectives,,,,gran before a singular noun,,,
des_T1CF-ETkxmO9,trio-lingua,descriptions,small,pequeño / pequeña,küçük,adjective,term,adjectives,,,,,,,
des_p_VfIhd5NLW_,trio-lingua,descriptions,tall,alto / alta,uzun (boy),adjective,term,adjectives,,,,,,,
des_jqbFaln6s2Zj,trio-lingua,descriptions,short (height),bajo / baja,kısa (boy),adjective,term,adjectives,,,,,,,
des_jbVxmT8ZNy9C,trio-lingua,descriptions,long,largo / larga,uzun,adjective,term,adjectives,,,,,,,
des_TkZuKZOSReNG,trio-lingua,descriptions,short (length),corto / corta,kısa,adjective,term,adjectives,,,,,,,
des_iSSbwXx6F4he,trio-lingua,descriptions,new,nuevo / nueva,yeni,adjective,term,adjectives,,,,,,,
des_wIRYWnRqV2mU,trio-lingua,descriptions,old (thing),viejo / vieja,eski,adjective,term,adjectives,,,,,,,
des_MCMcIPQqG814,trio-lingua,descriptions,young,joven,genç,adjective,term,adjectives,,,,,,,
des_WLrfdYOcYXVg,trio-lingua,descriptions,good,bueno / buena,iyi,adjective,term,adjectives,,,,buen before a masc. singular noun,,,
des_HoyQA0wnZQnS,trio-lingua,descriptions,bad,malo / mala,kötü,adjective,term,adjectives,,,,mal before a masc. singular noun,,,
des_efTNDv4h6A7i,trio-lingua,descriptions,hot,caliente,sıcak,adjective,term,adjectives,,,,,,,
des_FlK8rX4eIYmv,trio-lingua,descriptions,cold,frío / fría,soğuk,adjective,term,adjectives,,,,,,,
des_1Vu0WFhuDHVD,trio-lingua,descriptions,fast,rápido / rápida,hızlı,adjective,term,adjectives,,,,,,,
des__dtfw6yEetyo,trio-lingua,descriptions,slow,lento / lenta,yavaş,adjective,term,adjectives,,,,,,,
des_1e99Cl3np8zF,trio-lingua,descriptions,easy,fácil,kolay,adjective,term,adjectives,,,,,,,
des__ZSKz0AMfsD8,trio-lingua,descriptions,difficult,difícil,zor,adjective,term,adjectives,,,,,,,
des_t5AGkuYmZmPg,trio-lingua,descriptions,happy,feliz / contento,mutlu,adjective,term,adjectives,,,,use estar with contento,,,
des_fYPWi1wrdEzz,trio-lingua,descriptions,sad,triste,üzgün,adjective,term,adjectives,,,,,,,
des_T2IkUT1-mvbZ,trio-lingua,descriptions,beautiful,bonito / bonita,güzel,adjective,term,adjectives,,,,,,,
des_czHZhodOECAC,trio-lingua,descriptions,ugly,feo / fea,çirkin,adjective,term,adjectives,,,,,,,
des_ts8qlomJuNN2,trio-lingua,descriptions,expensive,caro / cara,pahalı,adjective,term,adjectives,,,,,,,
des_-1v3yONrncRj,trio-lingua,descriptions,cheap,barato / barata,ucuz,adjective,term,adjectives,,,,,,,
des_lO6reb1USQql,trio-lingua,descriptions,open,abierto / abierta,açık,adjective,term,adjectives,,,,,,,
des_DENlz8CWh9o_,trio-lingua,descriptions,closed,cerrado / cerrada,kapalı,adjective,term,adjectives,,,,,,,
