id,deck,subdeck,en,es,tr
phr_29LuoRPBd9EB,Trio,Phrases A,"Hello

phrase","Hola

phrase",Merhaba
phr_0bm6P_9q-QQE,Trio,Phrases A,"Good morning

phrase","Buenos días

phrase",Günaydın
phr_mz5anAkKMacW,Trio,Phrases A,"Good afternoon

phrase","Buenas tardes

phrase",Tünaydın
phr_f3j69y34JpmI,Trio,Phrases A,"Good evening

phrase
also used as *good night*","Buenas noches

phrase",İyi akşamlar
phr_Gs8wKX07cr2a,Trio,Phrases A,"Good night

phrase","Buenas noches

phrase",İyi geceler
phr_K1Wz-mgA57uz,Trio,Phrases A,"Goodbye

phrase","Adiós

phrase",Hoşça kal
phr_iz0lsQFxsSM_,Trio,Phrases A,"See you later

phrase","Hasta luego

phrase",Görüşürüz
phr_3LLMdmMtjBK5,Trio,Phrases A,"See you soon

phrase","Hasta pronto

phrase",Yakında görüşürüz
phr_38knXjPK10es,Trio,Phrases A,"See you tomorrow

phrase","Hasta mañana

phrase",Yarın görüşürüz
phr_kdYI1gLsDDUg,Trio,Phrases A,"Welcome

phrase","Bienvenido, Bienvenida

phrase",Hoş geldin
phr_8VSkx-QHyZAb,Trio,Phrases A,"Please

phrase","Por favor

phrase",Lütfen
phr_k7gsg9iLyT5Y,Trio,Phrases A,"Thank you

phrase","Gracias

phrase",Teşekkürler
phr_wpibgadLrnC0,Trio,Phrases A,"Thank you very much

phrase","Muchas gracias

phrase",Çok teşekkürler
phr_kCeAbO3L0Yt9,Trio,Phrases A,"You're welcome

phrase","De nada

phrase",Rica ederim
phr_5_QLXy05uuv-,Trio,Phrases A,"Excuse me

phrase
also *Disculpe* (more formal)","Perdón

phrase",Affedersiniz
phr_L5JImj7MMIOD,Trio,Phrases A,"I'm sorry

phrase","Lo siento

phrase",Özür dilerim
phr_YZSzEoT__w6M,Trio,Phrases A,"with your permission

phrase
used when passing by someone; often glossed as *excuse me*","Con permiso

phrase",İzninizle
phr_8OtYl58P_5bG,Trio,Phrases A,"Yes

phrase","Sí

phrase",Evet
phr_60cXiMJp1wvN,Trio,Phrases A,"No

phrase","No

phrase",Hayır
phr_TiMK1VFOMh2w,Trio,Phrases A,"Maybe

phrase","Tal vez, Quizás

phrase",Belki
phr_tBFmlooe5wlq,Trio,Phrases A,"Of course

phrase","Claro, Por supuesto

phrase",Tabii ki
phr_sVM44DR_xOEg,Trio,Phrases A,"That's all

phrase","Eso es todo

phrase",Hepsi bu
phr_eAR8jsneSRlt,Trio,Phrases A,"It doesn't matter

phrase","No importa

phrase",Önemli değil
phr_5vc7-hQVjK8w,Trio,Phrases A,"How nice!

phrase
natural gloss: *That's great!*","¡Qué bien!

phrase",Ne güzel!
phr_3G1CyrPi3rrd,Trio,Phrases A,"very well

phrase","muy bien

phrase",çok iyi
phr_yPBj9pg6Vsw4,Trio,Phrases A,"How are you?

phrase","¿Cómo estás?

phrase",Nasılsın?
phr_JgJ3FE6xo-Ka,Trio,Phrases A,"Fine, thanks. And you?

phrase","Bien, gracias. ¿Y tú?

phrase","İyiyim, teşekkürler. Ya sen?"
phr_uE-AI_Ta9xgr,Trio,Phrases A,"What's your name?

phrase","¿Cómo te llamas?

phrase",Adın ne?
phr_IirTE2_Zvgi_,Trio,Phrases A,"My name is…

phrase","Me llamo…

phrase",Adım…
phr_ODe5T5mHfbmV,Trio,Phrases A,"Nice to meet you

phrase","Mucho gusto

phrase
also *Encantado / Encantada*",Memnun oldum
phr_ofYjauO_SSBL,Trio,Phrases A,"Where are you from?

phrase","¿De dónde eres?

phrase",Nerelisin?
phr_LgYw_FGIYJbz,Trio,Phrases A,"I am from…

phrase","Soy de…

phrase",…'lıyım
phr_4c_uec7cxbNF,Trio,Phrases A,"What do you do for a living?

phrase","¿A qué te dedicas?

phrase",Ne iş yapıyorsun?
phr_GquhxqkDC0-w,Trio,Phrases A,"I work as…

phrase","Trabajo como…

phrase",… olarak çalışıyorum
phr_j1sWKP272B_v,Trio,Phrases A,"Where do you work?

phrase","¿Dónde trabajas?

phrase",Nerede çalışıyorsun?
phr_IwX2KIvmbyJs,Trio,Phrases A,"What do you study?

phrase","¿Qué estudias?

phrase",Ne okuyorsun?
phr_D7LrehhppMwh,Trio,Phrases A,"How old are you?

phrase","¿Cuántos años tienes?

phrase",Kaç yaşındasın?
phr_LKSGbTIr6RAu,Trio,Phrases A,"I am … years old.

phrase
literally: *I have … years*","Tengo … años.

phrase",… yaşındayım.
phr_0yja4kehSjcx,Trio,Phrases A,"Where do you live?

phrase","¿Dónde vives?

phrase",Nerede yaşıyorsun?
phr_NnGu7cTPJbkq,Trio,Phrases A,"Who is he?

phrase","¿Quién es él?

phrase",O kim?
phr_Zi-Oej3WOM-e,Trio,Phrases A,"Are you married?

phrase","¿Estás casado, casada?

phrase",Evli misin?
phr_Y7mLnIMcgWu3,Trio,Phrases A,"I am single

phrase","Estoy soltero, soltera

phrase",Bekarım
phr_ClZaDcss4k4o,Trio,Phrases A,"I don't understand

phrase","No entiendo

phrase",Anlamıyorum
phr_W419M3-sjIuo,Trio,Phrases A,"I don't know

phrase","No sé

phrase",Bilmiyorum
phr_diH2C_cqVuXg,Trio,Phrases A,"Do you speak English?

phrase","¿Hablas inglés?

phrase",İngilizce biliyor musun?
phr_xHoxc2JOwOjr,Trio,Phrases A,"I speak a little Spanish

phrase","Hablo un poco de español

phrase",Biraz İspanyolca konuşuyorum
phr_oEqqeVv2TOaY,Trio,Phrases A,"I'm learning Spanish

phrase","Aprendo español

phrase",İspanyolca öğreniyorum
phr_v0aAYB3Llp51,Trio,Phrases A,"What languages do you speak?

phrase","¿Qué idiomas hablas?

phrase",Hangi dilleri konuşuyorsun?
phr_uIEAv0pqisAV,Trio,Phrases A,"Can you repeat, please?

phrase","¿Puedes repetir, por favor?

phrase","Tekrar eder misin, lütfen?"
phr_xezq9aqDjFt2,Trio,Phrases A,"What does … mean?

phrase","¿Qué significa…?

phrase",… ne demek?
phr_LgEQasaSt7q6,Trio,Phrases A,"How do you say … in Spanish?

phrase","¿Cómo se dice … en español?

phrase",İspanyolca … nasıl denir?
phr_Gmmqe8VxHyU5,Trio,Phrases A,"How much does it cost?

phrase","¿Cuánto cuesta?

phrase",Ne kadar?
phr_oFdxQs2ZHanH,Trio,Phrases A,"Where is the bathroom?

phrase","¿Dónde está el baño?

phrase",Tuvalet nerede?
phr_f0AfAmxroegY,Trio,Phrases A,"Where is…?

phrase","¿Dónde está…?

phrase",… nerede?
phr_yadDdogjB_bc,Trio,Phrases A,"I am lost

phrase","Estoy perdido, perdida

phrase",Kayboldum
phr_GIS94duJAu32,Trio,Phrases A,"Help!

phrase","¡Socorro!, ¡Ayuda!

phrase",İmdat!
phr_Ssvc5uUuKQcm,Trio,Phrases A,"to the right

phrase","a la derecha

phrase",sağa / sağda
phr_kt1DdMGhEB4t,Trio,Phrases A,"to the left

phrase","a la izquierda

phrase",sola / solda
phr_QBBWbQLGFqyS,Trio,Phrases A,"Do you want a drink?

phrase","¿Quieres una bebida?

phrase",Bir şey içmek ister misin?
phr_HlpMQ5Jt85ws,Trio,Phrases A,"Shall we drink something?

phrase","¿Bebemos algo?

phrase",Bir şey içelim mi?
