id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
foo_MgxcMMG-bb-U,trio-lingua,food,food,la comida,yemek,noun,term,meals,,,,,,,
foo_XPSMV0zKK7FG,trio-lingua,food,meal,la comida,öğün,noun,term,meals,,,,,,,
foo_apwLzpwpVQM0,trio-lingua,food,breakfast,el desayuno,kahvaltı,noun,term,meals,,,,,,,
foo_vfdCRzGsurQg,trio-lingua,food,lunch,el almuerzo / la comida,öğle yemeği,noun,term,meals,,,,,,,
foo_KpqcXtAaXEgE,trio-lingua,food,dinner,la cena,akşam yemeği,noun,term,meals,,,,,,,
foo_Oz2vBvEK4_cI,trio-lingua,food,snack,la merienda / el aperitivo,atıştırmalık,noun,term,meals,,,,,,,
foo_PKmReIWiFNHv,trio-lingua,food,dessert,el postre,tatlı,noun,term,meals,,,,,,,
foo_HNv-K3sHOSEX,trio-lingua,food,appetizer / tapas,la tapa / el entrante,meze / başlangıç,noun,term,meals,,,,,,,
foo_l4g0EucQtM_i,trio-lingua,food,bread,el pan,ekmek,noun,term,meals,,,,,,,
foo_lxFKyHWN2vKB,trio-lingua,food,soup,la sopa,çorba,noun,term,meals,,,,,,,
foo_iCSIEsAv4O0m,trio-lingua,food,salad,la ensalada,salata,noun,term,meals,,,,,,,
foo_VOvCLV06Zkv5,trio-lingua,food,meat,la carne,et,noun,term,meals,,,,,,,
foo_ueLTKwwwUFAE,trio-lingua,food,chicken (meat),el pollo,tavuk (eti),noun,term,meals,,,,,,,
foo_Gx9H2YtVaar9,trio-lingua,food,fish (food),el pescado,balık (yemek),noun,term,meals,,,,pescado = caught/eaten; pez = alive,,,
foo_ubiFWOK9IzH4,trio-lingua,food,rice,el arroz,pirinç / pilav,noun,term,meals,,,,,,,
foo_yx8hkrq3XFDR,trio-lingua,food,egg,el huevo,yumurta,noun,term,meals,,,,,,,
foo_BIgMQtLci_4v,trio-lingua,food,cheese,el queso,peynir,noun,term,meals,,,,,,,
foo_4WgogeDA08WA,trio-lingua,food,sugar,el azúcar,şeker,noun,term,meals,,,,,,,
foo_YRd2IQW2zZpZ,trio-lingua,food,salt,la sal,tuz,noun,term,meals,,,,,,,
foo_reNIdVlCt7MN,trio-lingua,food,drink,la bebida,içecek,noun,term,drinks,,,,,,,
foo_QmX7Kmrzi0kO,trio-lingua,food,water,el agua,su,noun,term,drinks,,,,feminine but takes el in singular,,,
foo_2xj8Tfh3CIZ9,trio-lingua,food,sparkling water,el agua con gas,maden suyu / gazlı su,noun,term,drinks,,,,,,,
foo_eoddFRL87tFC,trio-lingua,food,coffee,el café,kahve,noun,term,drinks,,,,,,,
foo_Tz1VjSjHVY1T,trio-lingua,food,tea,el té,çay,noun,term,drinks,,,,,,,
foo_uN694websNqV,trio-lingua,food,milk,la leche,süt,noun,term,drinks,,,,,,,
foo_h43FxpmazJ2F,trio-lingua,food,juice,el zumo / el jugo,meyve suyu,noun,term,drinks,,,,"zumo in Spain, jugo in Latin America",,,
foo_K47Cyn_scWiZ,trio-lingua,food,wine,el vino,şarap,noun,term,drinks,,,,,,,
foo_D3CL35XNdnES,trio-lingua,food,beer,la cerveza,bira,noun,term,drinks,,,,,,,
foo_Iq5svLFqQe6m,trio-lingua,food,soft drink,el refresco,gazoz / meşrubat,noun,term,drinks,,,,,,,
foo_H4Xs6Lxbre9e,trio-lingua,food,restaurant,el restaurante,restoran,noun,term,restaurant,,,,,,,
foo_tInC40flqGAb,trio-lingua,food,cafe,la cafetería / el café,kafe,noun,term,restaurant,,,,,,,
foo_L6aIzDZGE8zZ,trio-lingua,food,bar,el bar,bar,noun,term,restaurant,,,,,,,
foo_p8YaN80Ih4hJ,trio-lingua,food,menu,la carta / el menú,menü,noun,term,restaurant,,,,la carta = list of dishes; el menú = set meal,,,
foo_E07trLBbaf35,trio-lingua,food,waiter / waitress,el camarero / la camarera,garson,noun,term,restaurant,,,,,,,
