Question,Content,Tags,id
Monday *(noun)*,"el lunes

Pazartesi",trio-lingua calendar noun term,cal_GFIfKD-4Df51
Tuesday *(noun)*,"el martes

Salı",trio-lingua calendar noun term,cal_-jmFejGO2F_B
Wednesday *(noun)*,"el miércoles

Çarşamba",trio-lingua calendar noun term,cal_YJT5niJaLpKl
Thursday *(noun)*,"el jueves

Perşembe",trio-lingua calendar noun term,cal_KLBSNCcGOGRM
Friday *(noun)*,"el viernes

Cuma",trio-lingua calendar noun term,cal_eUbuNLKirr9y
Saturday *(noun)*,"el sábado

Cumartesi",trio-lingua calendar noun term,cal_5RvAWC2vo2fh
Sunday *(noun)*,"el domingo

Pazar",trio-lingua calendar noun term,cal_vao0OzKjDAZL
January *(noun)*,"el enero

Ocak",trio-lingua calendar noun term,cal_gZbLgnSkQ6dC
February *(noun)*,"el febrero

Şubat",trio-lingua calendar noun term,cal_3JcJMaGoCkTi
March *(noun)*,"el marzo

Mart",trio-lingua calendar noun term,cal_8T7mkZ9vumbX
April *(noun)*,"el abril

Nisan",trio-lingua calendar noun term,cal_nOvDVnoBU8Yr
May *(noun)*,"el mayo

Mayıs",trio-lingua calendar noun term,cal_He3vTtMtBaEI
June *(noun)*,"el junio

Haziran",trio-lingua calendar noun term,cal_7SxfZPXXTIww
July *(noun)*,"el julio

Temmuz",trio-lingua calendar noun term,cal_XWFjRlSUxgGb
August *(noun)*,"el agosto

Ağustos",trio-lingua calendar noun term,cal_w8mtXGIMnv3g
September *(noun)*,"el septiembre

Eylül",trio-lingua calendar noun term,cal_ir3PaaU7TuTC
October *(noun)*,"el octubre

Ekim",trio-lingua calendar noun term,cal_hYKH9vxM3dWa
November *(noun)*,"el noviembre

Kasım",trio-lingua calendar noun term,cal_SteZMYE8tugT
December *(noun)*,"el diciembre

Aralık",trio-lingua calendar noun term,cal_R06y0sbqTtqf
spring *(noun)*,"la primavera

ilkbahar",trio-lingua calendar noun term,cal_kIsSg6mSnBwV
summer *(noun)*,"el verano

yaz",trio-lingua calendar noun term,cal_ySl4_5uZd3WV
autumn *(noun)*,"el otoño

sonbahar",trio-lingua calendar noun term,cal_yow5pRMrc5WF
fall *(noun)*,"el otoño (también: autumn)

sonbahar",trio-lingua calendar noun term,cal_FqrkXskml7Jh
winter *(noun)*,"el invierno

kış",trio-lingua calendar noun term,cal_AbQWUSkkO62V
morning *(noun)*,"la mañana

sabah",trio-lingua calendar noun term,cal_tTlsbbVNffqC
afternoon *(noun)*,"la tarde

öğleden sonra",trio-lingua calendar noun term,cal_DtcsvYeB9ZzE
evening *(noun)*,"la tarde / la noche (según el contexto)

akşam",trio-lingua calendar noun term,cal_TQ9WHr97S5_c
night *(noun)*,"la noche

gece",trio-lingua calendar noun term,cal_lPsk1fQaUXIR
noon *(noun)*,"el mediodía

öğle / öğlen",trio-lingua calendar noun term,cal_lGOiHgYPG-O0
midnight *(noun)*,"la medianoche

gece yarısı",trio-lingua calendar noun term,cal_Sg8976pCdOjl
today *(adverb)*,"hoy

bugün",trio-lingua calendar adverb term,cal_eUoY1qrogVPc
yesterday *(adverb)*,"ayer

dün",trio-lingua calendar adverb term,cal_eIC8NgPhNbCR
tomorrow *(adverb)*,"mañana

yarın",trio-lingua calendar adverb term,cal_sL8zvrX30zHu
day before yesterday *(adverb)*,"anteayer / antes de ayer

evvelsi gün",trio-lingua calendar adverb term,cal_c_O13bJeaX92
day after tomorrow *(adverb)*,"pasado mañana

öbür gün",trio-lingua calendar adverb term,cal_iw_P8BrJHqDu
week *(noun)*,"la semana

hafta",trio-lingua calendar noun term,cal_H3HessrJQwgy
weekend *(noun)*,"el fin de semana

hafta sonu",trio-lingua calendar noun term,cal_W1OPY4or-7Hh
weekday *(noun)*,"el día laborable / el día hábil

hafta içi",trio-lingua calendar noun term,cal_IqHx8Ec5kkjy
fortnight *(noun)*,"la quincena / dos semanas

iki hafta / on beş gün",trio-lingua calendar noun term,cal_sqc8zn3NDcv_
day *(noun)*,"el día

gün",trio-lingua calendar noun term,cal_sv0UUakuCjC1
date *(noun)*,"la fecha

tarih",trio-lingua calendar noun term,cal_Sd6vc4fkC8XT
month *(noun)*,"el mes

ay",trio-lingua calendar noun term,cal_1rZVVzPMcEgF
year *(noun)*,"el año

yıl",trio-lingua calendar noun term,cal_Ulx6rIU-_ODF
decade *(noun)*,"la década

on yıl",trio-lingua calendar noun term,cal_CTfqbXzRrh9M
century *(noun)*,"el siglo

yüzyıl",trio-lingua calendar noun term,cal_DZBLZnnzBXqG
leap year *(noun)*,"el año bisiesto

artık yıl",trio-lingua calendar noun term,cal_YL7GoeeK88oo
daily *(adverb)*,"diariamente / a diario

her gün / günlük",trio-lingua calendar adverb term,cal_1M_cbb6QRmt9
weekly *(adverb)*,"semanalmente / semanal

her hafta / haftalık",trio-lingua calendar adverb term,cal_yAImJ26tBMbh
monthly *(adverb)*,"mensualmente / mensual

her ay / aylık",trio-lingua calendar adverb term,cal_MwpDTunVAo0_
yearly *(adverb)*,"anualmente / anual

her yıl / yıllık",trio-lingua calendar adverb term,cal_BGGy6R2u6Vkx
annually *(adverb)*,"anualmente / anual

yılda bir / yıllık",trio-lingua calendar adverb term,cal_BvfdG1dU8wSH
beginning of the week *(noun)*,"a principios de la semana / el comienzo de la semana

haftanın başı",trio-lingua calendar noun term,cal_4GyoabZf2Lyu
middle of the week *(noun)*,"a mediados de la semana

haftanın ortası",trio-lingua calendar noun term,cal_lzWQ9csAz8Ps
end of the week *(noun)*,"a finales de la semana / el final de la semana

haftanın sonu",trio-lingua calendar noun term,cal_ypvNeN9midmA
beginning of the month *(noun)*,"a principios de mes / el comienzo del mes

ayın başı",trio-lingua calendar noun term,cal_PQ78RECqozQx
middle of the month *(noun)*,"a mediados de mes

ayın ortası",trio-lingua calendar noun term,cal_QXbZdQ7EzmoA
end of the month *(noun)*,"a finales de mes / el final del mes

ayın sonu",trio-lingua calendar noun term,cal_JYEJ2tPfAJPP
What day is it today? *(phrase)*,"¿Qué día es hoy?

Bugün günlerden ne?",trio-lingua calendar phrase,cal_h8CLTDzLPh0f
today's date *(phrase)*,"la fecha de hoy

bugünün tarihi",trio-lingua calendar phrase,cal_xnwWQNLk1_VZ
last week *(phrase)*,"la semana pasada

geçen hafta",trio-lingua calendar phrase,cal_E_8fB93JHmxz
this week *(phrase)*,"esta semana

bu hafta",trio-lingua calendar phrase,cal_OFViiC9ztidt
