id,deck,subdeck,en,es,tr
num_P9-G2BMqkuMf,trio-lingua,numbers_0_100,"zero

numeral

[Wiktionary](https://en.wiktionary.org/wiki/zero)","cero

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cero)",sıfır
num_nnPb4PSo4lmo,trio-lingua,numbers_0_100,"one

numeral

[Wiktionary](https://en.wiktionary.org/wiki/one)","uno, un, una

numeral
*un* before a masculine noun; *una* before a feminine noun

[Wiktionary](https://en.wiktionary.org/wiki/uno)",bir
num_Wk8WHKnZi9y2,trio-lingua,numbers_0_100,"two

numeral

[Wiktionary](https://en.wiktionary.org/wiki/two)","dos

numeral

[Wiktionary](https://en.wiktionary.org/wiki/dos)",iki
num_ZGeL2_cN-G3q,trio-lingua,numbers_0_100,"three

numeral

[Wiktionary](https://en.wiktionary.org/wiki/three)","tres

numeral

[Wiktionary](https://en.wiktionary.org/wiki/tres)",üç
num_fiaGL_ldSkQm,trio-lingua,numbers_0_100,"four

numeral

[Wiktionary](https://en.wiktionary.org/wiki/four)","cuatro

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cuatro)",dört
num_-1bF_eNYMQgL,trio-lingua,numbers_0_100,"five

numeral

[Wiktionary](https://en.wiktionary.org/wiki/five)","cinco

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cinco)",beş
num_uLTePPSch5DE,trio-lingua,numbers_0_100,"six

numeral

[Wiktionary](https://en.wiktionary.org/wiki/six)","seis

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seis)",altı
num_j-Srb-vZNAFE,trio-lingua,numbers_0_100,"seven

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seven)","siete

numeral

[Wiktionary](https://en.wiktionary.org/wiki/siete)",yedi
num_KIFrgOlCUcJo,trio-lingua,numbers_0_100,"eight

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eight)","ocho

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ocho)",sekiz
num_r0j4vnrF98Fp,trio-lingua,numbers_0_100,"nine

numeral

[Wiktionary](https://en.wiktionary.org/wiki/nine)","nueve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/nueve)",dokuz
num_iUlKISPBFwdI,trio-lingua,numbers_0_100,"ten

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ten)","diez

numeral

[Wiktionary](https://en.wiktionary.org/wiki/diez)",on
num_-BpfSkK8splu,trio-lingua,numbers_0_100,"eleven

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eleven)","once

numeral

[Wiktionary](https://en.wiktionary.org/wiki/once)",on bir
num_-mKDdB7hgE_F,trio-lingua,numbers_0_100,"twelve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/twelve)","doce

numeral

[Wiktionary](https://en.wiktionary.org/wiki/doce)",on iki
num_JD_5EXb6TzbE,trio-lingua,numbers_0_100,"thirteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/thirteen)","trece

numeral

[Wiktionary](https://en.wiktionary.org/wiki/trece)",on üç
num_bT68SDGTsov_,trio-lingua,numbers_0_100,"fourteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/fourteen)","catorce

numeral

[Wiktionary](https://en.wiktionary.org/wiki/catorce)",on dört
num_lA4Rrl3AvVqZ,trio-lingua,numbers_0_100,"fifteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/fifteen)","quince

numeral

[Wiktionary](https://en.wiktionary.org/wiki/quince)",on beş
num_Kqawu1c1D_rb,trio-lingua,numbers_0_100,"sixteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/sixteen)","dieciséis

numeral

[Wiktionary](https://en.wiktionary.org/wiki/dieciséis)",on altı
num_9rs9Up04LgY9,trio-lingua,numbers_0_100,"seventeen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seventeen)","diecisiete

numeral

[Wiktionary](https://en.wiktionary.org/wiki/diecisiete)",on yedi
num_xVJB77C09SCC,trio-lingua,numbers_0_100,"eighteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eighteen)","dieciocho

numeral

[Wiktionary](https://en.wiktionary.org/wiki/dieciocho)",on sekiz
num_l135eQ-nzaGV,trio-lingua,numbers_0_100,"nineteen

numeral

[Wiktionary](https://en.wiktionary.org/wiki/nineteen)","diecinueve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/diecinueve)",on dokuz
num_npwdxpBuvOye,trio-lingua,numbers_0_100,"twenty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/twenty)","veinte

numeral

[Wiktionary](https://en.wiktionary.org/wiki/veinte)",yirmi
num_XthNKBH9THwz,trio-lingua,numbers_0_100,"twenty-one

numeral

[Wiktionary](https://en.wiktionary.org/wiki/twenty-one)","veintiuno

numeral
21–29 are written as one word (*veinti…*)

[Wiktionary](https://en.wiktionary.org/wiki/veintiuno)",yirmi bir
num_y0cSScVCTau5,trio-lingua,numbers_0_100,"twenty-two

numeral

[Wiktionary](https://en.wiktionary.org/wiki/twenty-two)","veintidós

numeral

[Wiktionary](https://en.wiktionary.org/wiki/veintidós)",yirmi iki
num_U5LZdFZdnlai,trio-lingua,numbers_0_100,"thirty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/thirty)","treinta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/treinta)",otuz
num_HC8JMDc3NKan,trio-lingua,numbers_0_100,"thirty-one

numeral

[Wiktionary](https://en.wiktionary.org/wiki/thirty-one)","treinta y uno

numeral
from 31 up: tens + *y* + units

[Wiktionary](https://en.wiktionary.org/wiki/treinta)",otuz bir
num_OvBA1JwlUgrr,trio-lingua,numbers_0_100,"forty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/forty)","cuarenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cuarenta)",kırk
num_y_ivW6mRU46i,trio-lingua,numbers_0_100,"forty-five

numeral

[Wiktionary](https://en.wiktionary.org/wiki/forty-five)","cuarenta y cinco

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cuarenta)",kırk beş
num_jE72QH5oRrul,trio-lingua,numbers_0_100,"fifty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/fifty)","cincuenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/cincuenta)",elli
num_LtAUG3KwGy1F,trio-lingua,numbers_0_100,"sixty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/sixty)","sesenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/sesenta)",altmış
num_ReLJjO08xPkf,trio-lingua,numbers_0_100,"seventy

numeral

[Wiktionary](https://en.wiktionary.org/wiki/seventy)","setenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/setenta)",yetmiş
num_d91E1_gy5KBZ,trio-lingua,numbers_0_100,"eighty

numeral

[Wiktionary](https://en.wiktionary.org/wiki/eighty)","ochenta

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ochenta)",seksen
num__JnoiKH3TCPm,trio-lingua,numbers_0_100,"ninety

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ninety)","noventa

numeral

[Wiktionary](https://en.wiktionary.org/wiki/noventa)",doksan
num_1IhFzgIYSK8g,trio-lingua,numbers_0_100,"ninety-nine

numeral

[Wiktionary](https://en.wiktionary.org/wiki/ninety-nine)","noventa y nueve

numeral

[Wiktionary](https://en.wiktionary.org/wiki/noventa)",doksan dokuz
num_2Uur3fNxSb3J,trio-lingua,numbers_0_100,"one hundred

numeral

[Wiktionary](https://en.wiktionary.org/wiki/one_hundred)","cien, ciento

numeral
*cien* for exactly 100; *ciento* in 101–199

[Wiktionary](https://en.wiktionary.org/wiki/cien)",yüz
num_Q1hT0XrbzGEh,trio-lingua,numbers_0_100,"number

noun

[Wiktionary](https://en.wiktionary.org/wiki/number)","el número

noun

[Wiktionary](https://en.wiktionary.org/wiki/número)",sayı
num__RrV0H0lDi1B,trio-lingua,numbers_0_100,"half

noun

[Wiktionary](https://en.wiktionary.org/wiki/half)","la mitad

noun

[Wiktionary](https://en.wiktionary.org/wiki/mitad)",yarım
num_bwHCAnJcAfNn,trio-lingua,numbers_0_100,"dozen

noun

[Wiktionary](https://en.wiktionary.org/wiki/dozen)","la docena

noun

[Wiktionary](https://en.wiktionary.org/wiki/docena)",düzine
num_jSmKxQm0MLE1,trio-lingua,numbers_0_100,"pair

noun

[Wiktionary](https://en.wiktionary.org/wiki/pair)","el par

noun

[Wiktionary](https://en.wiktionary.org/wiki/par)",çift
num_qgsLzjJofJ9K,trio-lingua,numbers_0_100,"even

adjective
divisible by two

[Wiktionary](https://en.wiktionary.org/wiki/even)","par

adjective

[Wiktionary](https://en.wiktionary.org/wiki/par)",çift
num_0FwstTsuB7K8,trio-lingua,numbers_0_100,"odd

adjective
not divisible by two

[Wiktionary](https://en.wiktionary.org/wiki/odd)","impar

adjective

[Wiktionary](https://en.wiktionary.org/wiki/impar)",tek
