id,deck,subdeck,front,back
_c1nSg2ZOpI5,grammar,los verbos auxiliares,"**Helper Constructions**

in a two-part construction, what gets conjugated?","Only the **helper**. The second part stays in a fixed form — infinitive, gerund or participle.

*Tengo que **trabajar**.*
*Estoy **trabajando**.*
*He **trabajado**.*"
qFHh1QAbCYMT,grammar,los verbos auxiliares,"**""have done""** (perfect)

which construction, and how is the participle formed?","**haber** + participle

*He hablado.*
*¿Has comido?*

Participle: -ar → -ado, -er/-ir → -ido — *hablado, comido, vivido*

⚠️ Irregular participles: **hecho, dicho, visto, puesto, escrito, vuelto, abierto, roto, muerto**"
1ujBhSkwyYu1,grammar,los verbos auxiliares,"**""going to""** (near future)

which construction?","**ir a** + infinitive

*Voy a comer.*
*Vamos a viajar.*"
vTDlISrKyQGp,grammar,los verbos auxiliares,"**""in progress""** (continuous)

which construction?","**estar** + gerund

*Estoy trabajando.*"
541t4I7hcAOR,grammar,los verbos auxiliares,"**""have to""** (obligation)

which construction?","**tener que** + infinitive

*Tengo que trabajar.*"
mOj3zDEK3YxJ,grammar,los verbos auxiliares,"**""one must""** (impersonal obligation)

which construction — no subject, applies to everyone?","**hay que** + infinitive

*Hay que estudiar.*"
mJWasbu4DkhH,grammar,los verbos auxiliares,"**""can""** (ability)

which construction?","**poder** + infinitive

*¿Puedes ayudarme?*"
TUVs84ja8-z7,grammar,los verbos auxiliares,"**""want to""**

which construction?","**querer** + infinitive

*Quiero viajar.*"
BUlyVv6nTSCS,grammar,los verbos auxiliares,"**""should""**

which construction?","**deber** + infinitive

*Debes descansar.*"
g-3gnWWl8pBK,grammar,los verbos auxiliares,"**""just did""** (immediate past)

which construction?","**acabar de** + infinitive

*Acabo de llegar.*"
gotwPiTTR57v,grammar,los verbos auxiliares,"**""usually do""** (habit)

which construction?","**soler** + infinitive

*Suelo caminar por la mañana.*"
