id,deck,subdeck,en,es,tr,pos,kind,tags,level,hint,example,notes,image,audio,source
cou_IjsrgJXjwi1y,trio-lingua,countries,country,el país,ülke,noun,term,general,,,,,,,
cou_S7RCxafFsNE9,trio-lingua,countries,nationality,la nacionalidad,uyruk / milliyet,noun,term,general,,,,,,,
cou_cmHIlaKMGxxJ,trio-lingua,countries,language,el idioma / la lengua,dil,noun,term,general,,,,el idioma is masculine,,,
cou_WHbPbt5G0Doc,trio-lingua,countries,Spain,España,İspanya,noun,term,countries,,,,,,,
cou_zY_iJtLTQjBi,trio-lingua,countries,Mexico,México,Meksika,noun,term,countries,,,,,,,
cou_iDMDMXMpBUSy,trio-lingua,countries,Argentina,Argentina,Arjantin,noun,term,countries,,,,,,,
cou_sJd4lLrEYCNc,trio-lingua,countries,Colombia,Colombia,Kolombiya,noun,term,countries,,,,,,,
cou_HZG-Q_khmJx6,trio-lingua,countries,Peru,Perú,Peru,noun,term,countries,,,,,,,
cou_fVT5sdvK4-MY,trio-lingua,countries,Chile,Chile,Şili,noun,term,countries,,,,,,,
cou_0wRtSB3pyrNR,trio-lingua,countries,Turkey,Turquía,Türkiye,noun,term,countries,,,,,,,
cou_OCxNEi-40tdT,trio-lingua,countries,United States,Estados Unidos,Amerika Birleşik Devletleri,noun,term,countries,,,,,,,
cou_Fxl-m9Z3WHPR,trio-lingua,countries,England,Inglaterra,İngiltere,noun,term,countries,,,,,,,
cou_CcMmi0P-uNPi,trio-lingua,countries,France,Francia,Fransa,noun,term,countries,,,,,,,
cou_HpMkqRBnwdlg,trio-lingua,countries,Germany,Alemania,Almanya,noun,term,countries,,,,,,,
cou_RXlzilK8ZGkJ,trio-lingua,countries,Italy,Italia,İtalya,noun,term,countries,,,,,,,
cou_HX5SnP3Udm-C,trio-lingua,countries,Portugal,Portugal,Portekiz,noun,term,countries,,,,,,,
cou_2ChY0oOx7kAE,trio-lingua,countries,Brazil,Brasil,Brezilya,noun,term,countries,,,,,,,
cou_iMGpMMeAws8L,trio-lingua,countries,Greece,Grecia,Yunanistan,noun,term,countries,,,,,,,
cou_XGSmDvrUMftK,trio-lingua,countries,Russia,Rusia,Rusya,noun,term,countries,,,,,,,
cou_i__Y7gKri_RS,trio-lingua,countries,China,China,Çin,noun,term,countries,,,,,,,
cou_xsOHimXZhS6U,trio-lingua,countries,Japan,Japón,Japonya,noun,term,countries,,,,,,,
cou_dk4VxRHRBw6j,trio-lingua,countries,Spanish (person),español / española,İspanyol,adjective,term,nationalities,,,,nationalities are lowercase in Spanish,,,
cou_TFEM31h6JXBX,trio-lingua,countries,Mexican,mexicano / mexicana,Meksikalı,adjective,term,nationalities,,,,,,,
cou_aSgOE30c5bto,trio-lingua,countries,Argentinian,argentino / argentina,Arjantinli,adjective,term,nationalities,,,,,,,
cou_NQReA60qpMCn,trio-lingua,countries,Colombian,colombiano / colombiana,Kolombiyalı,adjective,term,nationalities,,,,,,,
cou_1mMVgBHx8sof,trio-lingua,countries,Peruvian,peruano / peruana,Perulu,adjective,term,nationalities,,,,,,,
cou_gtSBi7tu5uHz,trio-lingua,countries,Chilean,chileno / chilena,Şilili,adjective,term,nationalities,,,,,,,
cou_BxQU2rvKEp-W,trio-lingua,countries,Turkish (person),turco / turca,Türk,adjective,term,nationalities,,,,,,,
cou_3mtaCQ6_M9qN,trio-lingua,countries,American (US),estadounidense,Amerikalı,adjective,term,nationalities,,,,same form for both genders,,,
cou_pKp1JqhzWBEP,trio-lingua,countries,English (person),inglés / inglesa,İngiliz,adjective,term,nationalities,,,,,,,
cou_y7HvbbPo-PU5,trio-lingua,countries,French (person),francés / francesa,Fransız,adjective,term,nationalities,,,,,,,
cou_lQru7m5GJztM,trio-lingua,countries,German (person),alemán / alemana,Alman,adjective,term,nationalities,,,,,,,
cou_C05nd8q_3WuT,trio-lingua,countries,Italian (person),italiano / italiana,İtalyan,adjective,term,nationalities,,,,,,,
cou_kgXyIDLc-eUJ,trio-lingua,countries,Portuguese (person),portugués / portuguesa,Portekizli,adjective,term,nationalities,,,,,,,
cou_lgGHNMZefvHe,trio-lingua,countries,Brazilian,brasileño / brasileña,Brezilyalı,adjective,term,nationalities,,,,,,,
cou_5ZUeqsSFLkHq,trio-lingua,countries,Greek (person),griego / griega,Yunan,adjective,term,nationalities,,,,,,,
cou_HJ1s9zkcSr2y,trio-lingua,countries,Russian (person),ruso / rusa,Rus,adjective,term,nationalities,,,,,,,
cou_6fyQM-1ji50M,trio-lingua,countries,Chinese (person),chino / china,Çinli,adjective,term,nationalities,,,,,,,
cou__-Fa8Dx1ATU7,trio-lingua,countries,Japanese (person),japonés / japonesa,Japon,adjective,term,nationalities,,,,,,,
cou_2DMcmUU3uvUf,trio-lingua,countries,Spanish (language),el español / el castellano,İspanyolca,noun,term,languages,,,,,,,
cou_eC9C4AwZAotQ,trio-lingua,countries,English (language),el inglés,İngilizce,noun,term,languages,,,,,,,
cou_5OhAR8IIK8hw,trio-lingua,countries,Turkish (language),el turco,Türkçe,noun,term,languages,,,,,,,
cou_7Z2xl_o0K6eD,trio-lingua,countries,French (language),el francés,Fransızca,noun,term,languages,,,,,,,
cou_tPaVo4K3e3se,trio-lingua,countries,German (language),el alemán,Almanca,noun,term,languages,,,,,,,
cou_pJLdO181Ea9w,trio-lingua,countries,Italian (language),el italiano,İtalyanca,noun,term,languages,,,,,,,
cou_0CNSnmR0XwTu,trio-lingua,countries,Portuguese (language),el portugués,Portekizce,noun,term,languages,,,,,,,
cou_IylYPfVAUjWT,trio-lingua,countries,Arabic (language),el árabe,Arapça,noun,term,languages,,,,,,,
cou_dXviJrByow-A,trio-lingua,countries,Chinese (language),el chino,Çince,noun,term,languages,,,,,,,
